experiment,query_file,cpu_time_ms_T,cpu_time_ms_Tprime,q_error_cpu_time,bytes_scanned_T,bytes_scanned_Tprime,q_error_bytes_scanned
imdb_to_imdb,10a.sql,951.84,509.47,1.868,302432232.0,409959339.0,1.356
imdb_to_imdb,10b.sql,384.52,60.08,6.4,302432232.0,268798896.0,1.125
imdb_to_imdb,10c.sql,3626.0,1123.23,3.228,302432232.0,336092242.0,1.111
imdb_to_imdb,11a.sql,129.0,266.62,2.067,68327928.0,415911257.0,6.087
imdb_to_imdb,11b.sql,65.44,653.64,9.988,68327928.0,375962915.0,5.502
imdb_to_imdb,11c.sql,560.79,38.75,14.472,68327928.0,81367267.0,1.191
imdb_to_imdb,11d.sql,1739.85,21.39,81.339,68327928.0,68327928.0,1.0
imdb_to_imdb,12a.sql,326.91,1.42,230.218,361317773.0,489717912.0,1.355
imdb_to_imdb,12b.sql,689.06,1.38,499.319,361317773.0,489717912.0,1.355
imdb_to_imdb,12c.sql,368.87,4.38,84.217,361317773.0,706898218.0,1.956
imdb_to_imdb,13c.sql,336.72,1.58,213.114,361317787.0,438481497.0,1.214
imdb_to_imdb,13d.sql,439.62,1.64,268.061,361317787.0,469385232.0,1.299
imdb_to_imdb,14a.sql,260.43,499.02,1.916,352739927.0,358162007.0,1.015
imdb_to_imdb,14b.sql,165.01,8.0,20.626,352739927.0,431180247.0,1.222
imdb_to_imdb,16a.sql,386.35,1288.12,3.334,342332477.0,319649827.0,1.071
imdb_to_imdb,16b.sql,4210.22,999.04,4.214,342332477.0,393425578.0,1.149
imdb_to_imdb,16d.sql,822.71,1712.74,2.082,342332477.0,342332477.0,1.0
imdb_to_imdb,17a.sql,1878.87,3295.14,1.754,331516361.0,678026338.0,2.045
imdb_to_imdb,17b.sql,3880.23,390.64,9.933,331516361.0,399653460.0,1.206
imdb_to_imdb,17c.sql,4117.44,3697.53,1.114,331516361.0,339982507.0,1.026
imdb_to_imdb,17d.sql,2385.84,4892.06,2.05,331516361.0,389596544.0,1.175
imdb_to_imdb,17e.sql,1982.1,1655.29,1.197,331516361.0,399653460.0,1.206
imdb_to_imdb,17f.sql,3976.64,7660.26,1.926,331516361.0,590569087.0,1.781
imdb_to_imdb,18a.sql,2027.27,819.62,2.473,601403228.0,601403252.0,1.0
imdb_to_imdb,18b.sql,1619.12,1932.61,1.194,601403228.0,410183818.0,1.466
imdb_to_imdb,19a.sql,1744.87,7984.79,4.576,655805480.0,717714358.0,1.094
imdb_to_imdb,19d.sql,2325.42,1236.74,1.88,655805480.0,729897056.0,1.113
imdb_to_imdb,1a.sql,130.18,122.52,1.063,62253403.0,64603034.0,1.038
imdb_to_imdb,1b.sql,85.35,1.3,65.654,62253403.0,136344995.0,2.19
imdb_to_imdb,1c.sql,85.39,235.31,2.756,62253403.0,358967795.0,5.766
imdb_to_imdb,1d.sql,110.52,94.7,1.167,62253403.0,62253403.0,1.0
imdb_to_imdb,20b.sql,1024.79,16143.14,15.753,340237115.0,720786188.0,2.118
imdb_to_imdb,20c.sql,960.24,347.69,2.762,340237115.0,424191445.0,1.247
imdb_to_imdb,21a.sql,148.07,1.51,98.06,365042328.0,687677558.0,1.884
imdb_to_imdb,21b.sql,132.97,123.54,1.076,365042328.0,365042328.0,1.0
imdb_to_imdb,21c.sql,119.82,9.61,12.468,365042328.0,690139978.0,1.891
imdb_to_imdb,22d.sql,2854.73,47.28,60.379,375962937.0,691733062.0,1.84
imdb_to_imdb,23a.sql,657.26,5354.2,8.146,365463009.0,628014211.0,1.718
imdb_to_imdb,23b.sql,390.96,3135.31,8.02,365463009.0,376503275.0,1.03
imdb_to_imdb,24a.sql,1374.07,1872.99,1.363,670450630.0,447827830.0,1.497
imdb_to_imdb,25a.sql,1366.11,3005.55,2.2,616048378.0,424828968.0,1.45
imdb_to_imdb,27a.sql,102.37,4.55,22.499,365582680.0,702442724.0,1.921
imdb_to_imdb,27c.sql,77.21,263.91,3.418,365582680.0,583048744.0,1.595
imdb_to_imdb,28a.sql,1963.96,7.25,270.891,376503289.0,704680284.0,1.872
imdb_to_imdb,28b.sql,803.85,5.92,135.785,376503289.0,737781602.0,1.96
imdb_to_imdb,28c.sql,1108.3,6.06,182.888,376503289.0,741477712.0,1.969
imdb_to_imdb,29a.sql,356.04,1899.16,5.334,745082582.0,753892916.0,1.012
imdb_to_imdb,2a.sql,230.16,110.53,2.082,68207896.0,68207896.0,1.0
imdb_to_imdb,2b.sql,110.99,188.65,1.7,68207896.0,341699633.0,5.01
imdb_to_imdb,2c.sql,106.38,132.75,1.248,68207896.0,67134544.0,1.016
imdb_to_imdb,2d.sql,581.56,87.83,6.621,68207896.0,68207896.0,1.0
imdb_to_imdb,30a.sql,1863.72,11218.26,6.019,616588730.0,732899828.0,1.189
imdb_to_imdb,30b.sql,688.06,398.05,1.729,616588730.0,718254710.0,1.165
imdb_to_imdb,30c.sql,1702.72,237.05,7.183,616588730.0,718254710.0,1.165
imdb_to_imdb,31b.sql,930.73,542.79,1.715,639271380.0,439993818.0,1.453
imdb_to_imdb,31c.sql,1209.59,218.37,5.539,639271380.0,718254686.0,1.124
imdb_to_imdb,32a.sql,21.57,17.84,1.209,45104918.0,44571910.0,1.012
imdb_to_imdb,32b.sql,76.21,18.44,4.133,45104918.0,49453652.0,1.096
imdb_to_imdb,33a.sql,122.45,67.1,1.825,64723403.0,376623313.0,5.819
imdb_to_imdb,33c.sql,170.27,39.41,4.32,64723403.0,302796718.0,4.678
imdb_to_imdb,3a.sql,595.51,120.09,4.959,341699294.0,341699294.0,1.0
imdb_to_imdb,3b.sql,362.89,124.79,2.908,341699294.0,338094763.0,1.011
imdb_to_imdb,3c.sql,961.78,241.92,3.976,341699294.0,341699294.0,1.0
imdb_to_imdb,4a.sql,922.6,2.0,461.3,56025513.0,129043753.0,2.303
imdb_to_imdb,4b.sql,194.25,63.51,3.059,56025513.0,56025513.0,1.0
imdb_to_imdb,4c.sql,1076.3,57.92,18.583,56025513.0,56025513.0,1.0
imdb_to_imdb,5a.sql,258.35,1.2,215.292,347927523.0,427464856.0,1.229
imdb_to_imdb,5b.sql,491.79,258.76,1.901,347927523.0,358967795.0,1.032
imdb_to_imdb,5c.sql,493.3,1289.24,2.614,347927523.0,634114804.0,1.823
imdb_to_imdb,6a.sql,807.82,2203.21,2.727,308293359.0,368803479.0,1.196
imdb_to_imdb,6b.sql,544.83,254.38,2.142,308293359.0,308293359.0,1.0
imdb_to_imdb,6c.sql,839.96,291.59,2.881,308293359.0,634114804.0,2.057
imdb_to_imdb,6d.sql,967.58,347.19,2.787,308293359.0,283323990.0,1.088
imdb_to_imdb,6e.sql,915.82,914.68,1.001,308293359.0,308293359.0,1.0
imdb_to_imdb,6f.sql,2671.84,55.36,48.263,308293359.0,248466176.0,1.241
imdb_to_imdb,7a.sql,166.32,114.94,1.447,378676288.0,266919740.0,1.419
imdb_to_imdb,7b.sql,92.06,185.73,2.017,378676288.0,339816761.0,1.114
imdb_to_imdb,7c.sql,5048.98,77.2,65.401,378676288.0,330593717.0,1.145
imdb_to_imdb,8a.sql,266.82,152.91,1.745,327687351.0,313472504.0,1.045
imdb_to_imdb,8b.sql,398.75,273.47,1.458,327687351.0,644930944.0,1.968
imdb_to_imdb,8d.sql,598.03,309.56,1.932,327687351.0,327687351.0,1.0
imdb_to_imdb,9a.sql,589.2,887.28,1.506,359090741.0,402003430.0,1.12
imdb_to_imdb,9c.sql,541.57,783.96,1.448,359090741.0,395018624.0,1.1
imdb_to_imdb_sizerank,10a.sql,951.84,587.27,1.621,302432232.0,409959339.0,1.356
imdb_to_imdb_sizerank,10b.sql,384.52,71.08,5.41,302432232.0,268798896.0,1.125
imdb_to_imdb_sizerank,10c.sql,3626.0,1367.87,2.651,302432232.0,336092242.0,1.111
imdb_to_imdb_sizerank,11a.sql,129.0,298.66,2.315,68327928.0,415911257.0,6.087
imdb_to_imdb_sizerank,11b.sql,65.44,301.29,4.604,68327928.0,375962915.0,5.502
imdb_to_imdb_sizerank,11c.sql,560.79,46.81,11.98,68327928.0,81367267.0,1.191
imdb_to_imdb_sizerank,11d.sql,1739.85,23.12,75.253,68327928.0,68327928.0,1.0
imdb_to_imdb_sizerank,12a.sql,326.91,1.63,200.558,361317773.0,489717912.0,1.355
imdb_to_imdb_sizerank,12b.sql,689.06,1.64,420.159,361317773.0,489717912.0,1.355
imdb_to_imdb_sizerank,12c.sql,368.87,5.54,66.583,361317773.0,706898218.0,1.956
imdb_to_imdb_sizerank,13c.sql,336.72,1.71,196.912,361317787.0,438481497.0,1.214
imdb_to_imdb_sizerank,13d.sql,439.62,1.82,241.549,361317787.0,469385232.0,1.299
imdb_to_imdb_sizerank,14a.sql,260.43,298.23,1.145,352739927.0,358162007.0,1.015
imdb_to_imdb_sizerank,14b.sql,165.01,7.66,21.542,352739927.0,431180247.0,1.222
imdb_to_imdb_sizerank,16a.sql,386.35,1365.34,3.534,342332477.0,319649827.0,1.071
imdb_to_imdb_sizerank,16b.sql,4210.22,1116.94,3.769,342332477.0,393425578.0,1.149
imdb_to_imdb_sizerank,16d.sql,822.71,1728.76,2.101,342332477.0,342332477.0,1.0
imdb_to_imdb_sizerank,17a.sql,1878.87,3936.97,2.095,331516361.0,678026338.0,2.045
imdb_to_imdb_sizerank,17b.sql,3880.23,469.77,8.26,331516361.0,399653460.0,1.206
imdb_to_imdb_sizerank,17c.sql,4117.44,4267.0,1.036,331516361.0,339982507.0,1.026
imdb_to_imdb_sizerank,17d.sql,2385.84,5796.46,2.43,331516361.0,389596544.0,1.175
