experiment,query_file,cpu_time_ms_T,cpu_time_ms_Tprime,q_error_cpu_time,bytes_scanned_T,bytes_scanned_Tprime,q_error_bytes_scanned
tpch_to_imdb,q01.sql,216.21,35.81,6.038,108021870.0,217466064.0,2.013
tpch_to_imdb,q02.sql,49.62,489.59,9.867,12350145.0,72556616.0,5.875
tpch_to_imdb,q03.sql,125.61,1368.55,10.895,127221870.0,248869478.0,1.956
tpch_to_imdb,q04.sql,122.71,33.92,3.618,16500000.0,296714400.0,17.983
tpch_to_imdb,q05.sql,127.73,150.32,1.177,127372015.0,271028842.0,2.128
tpch_to_imdb,q06.sql,33.6,39.74,1.183,108021870.0,217466064.0,2.013
tpch_to_imdb,q07.sql,131.0,743.42,5.675,127245995.0,706898242.0,5.555
tpch_to_imdb,q08.sql,94.65,381.42,4.03,127388015.0,727771274.0,5.713
tpch_to_imdb,q09.sql,421.99,1.34,314.918,134287995.0,676334334.0,5.036
tpch_to_imdb,q10.sql,251.96,215.52,1.169,127221995.0,292780988.0,2.301
tpch_to_imdb,q11.sql,32.8,48.8,1.488,9750125.0,44984894.0,4.614
tpch_to_imdb,q12.sql,86.62,535.84,6.186,124521870.0,263308465.0,2.115
tpch_to_imdb,q13.sql,428.55,98.27,4.361,16508000.0,338094424.0,20.481
tpch_to_imdb,q14.sql,58.37,309.82,5.308,110621870.0,263308465.0,2.38
tpch_to_imdb,q15.sql,64.36,20.89,3.081,108021870.0,217466064.0,2.013
tpch_to_imdb,q16.sql,129.54,81.02,1.599,12200000.0,43911534.0,3.599
tpch_to_imdb,q17.sql,59.25,525.0,8.861,110621870.0,263308465.0,2.38
tpch_to_imdb,q18.sql,351.97,518.3,1.473,127221870.0,294711855.0,2.317
tpch_to_imdb,q19.sql,172.43,120.26,1.434,110621870.0,247805808.0,2.24
tpch_to_imdb,q20.sql,103.79,76.71,1.353,150125.0,119934001.0,798.894
tpch_to_imdb,q21.sql,319.77,595.14,1.861,124671995.0,544520547.0,4.368
tpch_to_imdb,q22.sql,89.56,649.13,7.248,8000.0,247805808.0,30975.726
tpch_to_tpcds,q01.sql,216.21,3.5,61.774,108021870.0,35235000.0,3.066
tpch_to_tpcds,q02.sql,49.62,44.21,1.122,12350145.0,34743691.0,2.813
tpch_to_tpcds,q03.sql,125.61,47.82,2.627,127221870.0,35685100.0,3.565
tpch_to_tpcds,q04.sql,122.71,19.03,6.448,16500000.0,37445252.0,2.269
tpch_to_tpcds,q06.sql,33.6,2.19,15.342,108021870.0,35235000.0,3.066
tpch_to_tpcds,q07.sql,131.0,251.81,1.922,127245995.0,89600714.0,1.42
tpch_to_tpcds,q09.sql,421.99,756.36,1.792,134287995.0,51509826.0,2.607
tpch_to_tpcds,q10.sql,251.96,10.4,24.227,127221995.0,74659632.0,1.704
tpch_to_tpcds,q11.sql,32.8,80.98,2.469,9750125.0,48998852.0,5.025
tpch_to_tpcds,q12.sql,86.62,2.91,29.766,124521870.0,35235100.0,3.534
tpch_to_tpcds,q13.sql,428.55,56.85,7.538,16508000.0,38195732.0,2.314
tpch_to_tpcds,q14.sql,58.37,77.47,1.327,110621870.0,35685000.0,3.1
