experiment,n_queries,cpu_time_qerror_mean,cpu_time_qerror_median,cpu_time_qerror_p90,cpu_time_qerror_max,bytes_qerror_mean,bytes_qerror_median,bytes_qerror_p90,bytes_qerror_max
imdb_to_imdb,83,39.43,3.06,128.24,499.32,1.62,1.19,2.11,6.09
imdb_to_imdb_sizerank,83,35.6,3.12,120.13,420.16,1.62,1.19,2.11,6.09
imdb_to_tpcds,82,8.27,3.32,19.0,127.96,4.62,4.94,6.66,9.0
imdb_to_tpch,94,12.04,6.78,27.65,106.27,3.19,2.62,4.7,17.8
tpcds_to_imdb,97,21.09,4.33,58.78,252.46,759.89,11.77,219.94,31108.68
tpcds_to_tpcds,89,19.02,3.83,38.64,231.68,110.83,1.46,29.53,4587.01
tpcds_to_tpcds_sizerank,89,15.27,3.4,29.83,214.23,110.83,1.46,29.53,4587.01
tpcds_to_tpch,80,17.81,2.85,54.89,161.09,688.84,3.27,67.59,22500.0
tpch_to_imdb,22,18.31,3.82,9.77,314.92,1448.71,2.99,20.23,30975.73
tpch_to_tpcds,20,16.44,6.99,37.32,84.61,226.58,3.07,6.25,4460.62
tpch_to_tpch,19,6.72,2.44,11.75,50.14,712.64,1.02,1.13,13521.48
tpch_to_tpch_sizerank,19,5.12,2.47,8.21,40.39,712.64,1.02,1.13,13521.48
