experiment,query_diversity_W,query_diversity_Wprime,success_rate_percent_T,success_rate_percent_Tprime,cpu_time_qerror_mean,cpu_time_qerror_median,cpu_time_qerror_p90,cpu_time_qerror_max,bytes_qerror_mean,bytes_qerror_median,bytes_qerror_p90,bytes_qerror_max
imdb_to_imdb,0.296,0.939,94.8,90.4,17.97,5.16,41.31,299.17,2.34,1.27,5.61,10.71
imdb_to_tpch,0.296,0.183,94.8,34.8,38.07,13.25,90.26,302.55,7.94,3.37,17.80,119.89
imdb_to_tpcds,0.296,0.939,94.8,76.5,7.89,3.29,17.91,116.54,4.62,4.94,6.66,9.00
tpch_to_tpch,0.773,0.773,100.0,86.4,5.21,2.13,5.86,54.67,712.64,1.02,1.13,13521.48
tpch_to_imdb,0.773,0.909,100.0,100.0,12.57,2.73,11.15,191.19,1448.71,2.99,20.23,30975.73
tpch_to_tpcds,0.773,0.864,100.0,90.9,13.37,3.67,33.02,55.00,226.58,3.07,6.25,4460.62
tpcds_to_tpcds,0.747,0.929,100.0,89.9,17.45,4.16,49.36,298.68,110.83,1.46,29.53,4587.01
tpcds_to_imdb,0.747,0.889,100.0,98.0,22.37,3.75,68.31,218.35,759.89,11.77,219.94,31108.68
tpcds_to_tpch,0.747,0.465,100.0,80.8,18.82,3.17,65.05,160.73,688.84,3.27,67.59,22500.00
imdb_to_imdb_sizerank,0.296,0.948,94.8,91.3,23.12,5.30,36.44,990.29,2.20,1.27,5.18,9.80
tpch_to_tpch_sizerank,0.773,0.773,100.0,77.3,52.77,13.08,130.02,441.87,23.14,1.25,9.06,337.52
tpcds_to_tpcds_sizerank,0.747,0.929,100.0,75.8,30.45,3.88,47.67,695.53,33.45,1.48,17.87,2083.65
