query,pass1_status,pass1_ms,pass2_status,pass2_ms,cache_speedup
q01.sql,ok,2588.58,ok,992.94,2.607
q02.sql,ok,390.49,ok,187.14,2.0866
q03.sql,ok,2380.04,ok,774.16,3.0744
q04.sql,ok,1848.24,ok,709.16,2.6062
q05.sql,ok,2445.83,ok,764.06,3.2011
q06.sql,ok,1785.35,ok,366.93,4.8656
q07.sql,ok,2687.34,ok,704.18,3.8163
q08.sql,ok,3413.09,ok,768.56,4.4409
q09.sql,ok,4258.94,ok,2137.52,1.9925
q10.sql,ok,2798.15,ok,1401.83,1.9961
q11.sql,ok,297.55,ok,131.77,2.2581
q12.sql,ok,2240.13,ok,643.84,3.4793
q13.sql,ok,2180.78,ok,1838.86,1.1859
q14.sql,ok,2633.86,ok,539.13,4.8854
q15.sql,ok,1933.61,ok,451.68,4.2809
q16.sql,ok,448.02,ok,387.07,1.1575
q17.sql,ok,2589.62,ok,637.92,4.0595
q18.sql,ok,2470.69,ok,1573.58,1.5701
q19.sql,ok,3503.14,ok,1024.72,3.4186
q20.sql,ok,2697.82,ok,601.66,4.484
q21.sql,ok,3353.74,ok,1821.02,1.8417
q22.sql,ok,524.7,ok,402.02,1.3052
