query,pass1_status,pass1_ms,pass2_status,pass2_ms,cache_speedup
q01.sql,ok,23660.65,ok,22752.8,1.0399
q02.sql,ok,36438.27,ok,44123.87,0.8258
q03.sql,ok,1564.88,ok,954.88,1.6388
q04.sql,ok,5529.31,ok,5368.37,1.03
q05.sql,ok,15916.67,ok,15433.79,1.0313
q06.sql,ok,36382.31,ok,35446.38,1.0264
q07.sql,timeout,601221.64,timeout,620609.79,n/a
q08.sql,error,344248.02,error,379643.02,n/a
q09.sql,timeout,639190.47,timeout,640650.77,n/a
q10.sql,ok,168863.01,ok,161747.72,1.044
q11.sql,ok,2908.65,ok,2827.67,1.0286
q12.sql,ok,399842.63,ok,381114.6,1.0491
q13.sql,ok,14719.13,ok,14045.98,1.0479
q14.sql,timeout,601664.04,timeout,601539.76,n/a
q15.sql,ok,62181.13,ok,61200.39,1.016
q16.sql,ok,3933.12,ok,3373.36,1.1659
q17.sql,ok,10848.12,ok,10370.9,1.046
q18.sql,ok,2557.62,ok,2624.59,0.9745
q19.sql,ok,32782.17,ok,32909.18,0.9961
q20.sql,ok,56.03,ok,46.6,1.2024
q21.sql,ok,4180.36,ok,3580.61,1.1675
q22.sql,ok,19484.84,ok,20176.67,0.9657
