query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
10a.sql,c88dc312,6,cast_info|title|kind_type|movie_keyword|aka_title|movie_info|char_name,7,594917482,34969.11,,timeout,INTERRUPT Error: Interrupted!,6,302432232
10b.sql,e5209170,6,cast_info|role_type|name|title|movie_link|movie_keyword|char_name,7,338743401,468.84,0,ok,,6,302432232
10c.sql,97b14791,6,cast_info|role_type|title|movie_keyword|movie_link|complete_cast|char_name,7,293441344,1806.21,1862,ok,,6,302432232
11a.sql,d3c4ba6c,7,movie_companies|company_type|title|movie_info|cast_info|kind_type|movie_keyword|company_name,8,581315022,16681.97,3521,ok,,7,68327928
11b.sql,3fe67f1a,7,movie_companies|title|cast_info|complete_cast|role_type|name|comp_cast_type|company_name,8,317411587,692.42,1287,ok,,7,68327928
11c.sql,63c5503e,7,movie_companies|company_type|title|movie_keyword|kind_type|movie_link|aka_title|company_name,8,72676626,1168.15,0,ok,,7,68327928
11d.sql,c7c76ac7,7,movie_companies|title|movie_info_idx|movie_info|movie_keyword|company_type|aka_title|company_name,8,380311304,1227.43,310,ok,,7,68327928
12a.sql,e12e7df3,7,movie_companies|title|cast_info|company_type|movie_info_idx|movie_link|movie_info|company_name,8,578903486,2737.07,978,ok,,7,361317773
12b.sql,e4b737c2,7,movie_companies|title|movie_keyword|movie_info_idx|cast_info|name|movie_link|company_name,8,341603269,6995.62,588,ok,,7,361317773
12c.sql,dcdeecf5,7,movie_companies|title|movie_info|movie_keyword|info_type|movie_info_idx|kind_type|company_name,8,374889569,33988.62,,timeout,INTERRUPT Error: Interrupted!,7,361317773
13a.sql,1d1f314d,8,movie_companies|title|company_type|aka_title|complete_cast|movie_link|kind_type|movie_keyword|company_name,9,73216970,47.21,3,ok,,8,361317787
13b.sql,67efbd11,8,movie_companies|company_type|title|movie_link|movie_keyword|cast_info|char_name|keyword|company_name,9,317197346,977.34,494,ok,,8,361317787
13c.sql,4319d076,8,movie_companies|title|kind_type|movie_info|movie_link|info_type|complete_cast|company_type|company_name,9,350937839,66.09,124,ok,,8,361317787
13d.sql,87456290,8,movie_companies|company_type|title|movie_link|cast_info|name|role_type|movie_keyword|company_name,9,330563021,225.59,1,ok,,8,361317787
14a.sql,4e1ca8b6,7,movie_info|title|complete_cast|aka_title|movie_companies|kind_type|cast_info|info_type,8,571356017,69.09,0,ok,,7,352739927
14b.sql,db4caac5,7,person_info|movie_info_idx|name|aka_name|cast_info|title|movie_keyword|info_type,8,403168334,4.83,0,ok,,7,352739927
14c.sql,c4b22f61,7,movie_info|person_info|name|cast_info|title|aka_name|complete_cast|info_type,8,675811008,1351.99,0,ok,,7,352739927
15a.sql,1b6a2ca2,8,title|complete_cast|movie_companies|movie_keyword|company_type|movie_link|keyword|movie_info_idx|aka_title,9,82980626,210.37,0,ok,,8,370344723
15b.sql,841ea399,8,kind_type|title|complete_cast|movie_keyword|comp_cast_type|keyword|movie_link|link_type|aka_title,9,51067364,197.74,152,ok,,8,370344723
15c.sql,d168f8c5,8,title|movie_companies|movie_info|company_name|cast_info|movie_keyword|info_type|company_type|aka_title,9,586737427,598.21,454,ok,,8,370344723
15d.sql,60cf0e78,8,title|kind_type|movie_info|movie_info_idx|info_type|movie_keyword|movie_link|link_type|aka_title,9,357208671,2757.36,629,ok,,8,370344723
16a.sql,e946a9c4,7,name|person_info|cast_info|title|movie_keyword|kind_type|movie_info|aka_name,8,688842129,12177.25,48169,ok,,7,342332477
16b.sql,426687d7,7,name|cast_info|char_name|title|movie_companies|movie_link|complete_cast|aka_name,8,357401079,365.61,0,ok,,7,342332477
16c.sql,dda7c66c,7,name|cast_info|char_name|role_type|title|movie_keyword|movie_companies|aka_name,8,370312561,247.16,1,ok,,7,342332477
16d.sql,1e3bb465,7,name|cast_info|title|person_info|char_name|movie_info|movie_keyword|aka_name,8,720245505,34421.2,,timeout,INTERRUPT Error: Interrupted!,7,342332477
17a.sql,08ea44c3,6,name|title|complete_cast|role_type|aka_name|movie_link|cast_info,7,305124681,400.34,3864,ok,,6,331516361
17b.sql,1324337a,6,name|char_name|person_info|role_type|title|info_type|cast_info,7,399143562,1260.38,307626,ok,,6,331516361
17c.sql,2c5beb9e,6,title|complete_cast|movie_keyword|movie_link|movie_companies|kind_type|cast_info,7,282910976,1041.61,272,ok,,6,331516361
17d.sql,09dc5f36,6,role_type|char_name|title|complete_cast|movie_companies|kind_type|cast_info,7,300622612,340.04,0,ok,,6,331516361
17e.sql,ba5e907c,6,name|person_info|role_type|title|movie_link|kind_type|cast_info,7,367859835,1120.14,32573,ok,,6,331516361
17f.sql,c44a7274,6,role_type|title|name|movie_companies|aka_title|aka_name|cast_info,7,330759461,338.37,15,ok,,6,331516361
18a.sql,a51e903e,6,title|role_type|movie_info_idx|movie_info|complete_cast|kind_type|cast_info,7,556100870,8900.75,1270930,ok,,6,601403228
18b.sql,f3a70b55,6,char_name|title|role_type|movie_keyword|movie_info_idx|aka_title|cast_info,7,309243372,1707.32,15642,ok,,6,601403228
18c.sql,0723781e,6,name|aka_name|char_name|title|aka_title|complete_cast|cast_info,7,341830139,214.16,2,ok,,6,601403228
19a.sql,4607ea64,9,name|cast_info|char_name|role_type|title|movie_info_idx|movie_keyword|aka_title|info_type|aka_name,10,365902228,2845.44,1687,ok,,9,655805480
