query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
10a.sql,246a036b,6,,0,0,30680.56,,timeout,INTERRUPT Error: Interrupted!,6,302432232
10b.sql,dce662a2,6,,0,0,1804.39,0,ok,,6,302432232
10c.sql,8731ee36,6,,0,0,1672.91,231410,ok,,6,302432232
11a.sql,a31732dd,7,,0,0,17.24,0,ok,,7,68327928
11b.sql,edfbcb47,7,,0,0,276.76,1,ok,,7,68327928
11c.sql,6f041595,7,,0,0,46.3,1,ok,,7,68327928
11d.sql,7a375e91,7,,0,0,887.91,0,ok,,7,68327928
12a.sql,0305bbe7,7,,0,0,361.15,315,ok,,7,361317773
12b.sql,9c18a97a,7,,0,0,8056.08,17992,ok,,7,361317773
12c.sql,86666519,7,,0,0,294.17,449,ok,,7,361317773
13a.sql,ca59be0e,8,,0,0,497.74,0,ok,,8,361317787
13b.sql,2e8450b8,8,,0,0,747.39,140,ok,,8,361317787
13c.sql,1552a204,8,,0,0,33211.49,,timeout,INTERRUPT Error: Interrupted!,8,361317787
13d.sql,3f382e5f,8,,0,0,49.61,0,ok,,8,361317787
14a.sql,52ed92b7,7,,0,0,30010.45,,timeout,INTERRUPT Error: Interrupted!,7,352739927
14b.sql,95b64f66,7,,0,0,158.56,0,ok,,7,352739927
14c.sql,60062ce1,7,,0,0,31.9,0,ok,,7,352739927
15a.sql,4f5ab850,8,,0,0,322.19,0,ok,,8,370344723
15b.sql,7c1c4a86,8,,0,0,246.52,1,ok,,8,370344723
15c.sql,2c62800d,8,,0,0,760.31,126,ok,,8,370344723
15d.sql,ae00b174,8,,0,0,155.56,0,ok,,8,370344723
16a.sql,408f0f61,7,,0,0,8284.67,260,ok,,7,342332477
16b.sql,116caf15,7,,0,0,1336.5,2858,ok,,7,342332477
16c.sql,5b0c53cc,7,,0,0,2506.18,48194,ok,,7,342332477
16d.sql,374fee20,7,,0,0,462.92,1627,ok,,7,342332477
17a.sql,a04ccc31,6,,0,0,7559.01,480074,ok,,6,331516361
17b.sql,b1db783a,6,,0,0,957.57,367,ok,,6,331516361
17c.sql,61b07c6c,6,,0,0,93.92,0,ok,,6,331516361
17d.sql,6b2f7edb,6,,0,0,2595.66,27248,ok,,6,331516361
17e.sql,7e15489d,6,,0,0,733.16,4,ok,,6,331516361
17f.sql,9367eb93,6,,0,0,31193.22,,timeout,INTERRUPT Error: Interrupted!,6,331516361
18a.sql,2bac44f4,6,,0,0,2336.1,19481,ok,,6,601403228
18b.sql,1418a751,6,,0,0,4904.13,0,ok,,6,601403228
18c.sql,817fb21f,6,,0,0,30143.68,,timeout,INTERRUPT Error: Interrupted!,6,601403228
19a.sql,2cf55bc0,9,,0,0,34140.11,,timeout,INTERRUPT Error: Interrupted!,9,655805480
19b.sql,64fd1448,9,,0,0,911.53,1369,ok,,9,655805480
19c.sql,fb2bf094,9,,0,0,2138.91,49365,ok,,9,655805480
19d.sql,5058cb69,9,,0,0,35873.4,,timeout,INTERRUPT Error: Interrupted!,9,655805480
1a.sql,cb432ec6,4,,0,0,22.72,1,ok,,4,62253403
1b.sql,c06b9ee1,4,,0,0,1962.1,2,ok,,4,62253403
1c.sql,be3da0b2,4,,0,0,398.57,2,ok,,4,62253403
1d.sql,50fcaf1c,4,,0,0,356.01,2,ok,,4,62253403
20a.sql,73361192,9,,0,0,116.84,0,ok,,9,340237115
20b.sql,7ed98a9d,9,,0,0,18327.76,465,ok,,9,340237115
20c.sql,ee768071,9,,0,0,88.93,0,ok,,9,340237115
21a.sql,61986eac,8,,0,0,406.97,556,ok,,8,365042328
21b.sql,8b43ed8f,8,,0,0,34831.07,,timeout,INTERRUPT Error: Interrupted!,8,365042328
21c.sql,542d7f30,8,,0,0,177.58,0,ok,,8,365042328
22a.sql,7182a0a9,10,,0,0,137.42,296,ok,,10,375962937
22b.sql,b5b4c373,10,,0,0,34346.52,,timeout,INTERRUPT Error: Interrupted!,10,375962937
22c.sql,9e285bbc,10,,0,0,1274.37,436,ok,,10,375962937
22d.sql,422cf45f,10,,0,0,2775.73,307,ok,,10,375962937
23a.sql,a2bc0712,10,,0,0,73.03,2,ok,,10,365463009
23b.sql,e81bf991,10,,0,0,9.73,0,ok,,10,365463009
23c.sql,13efe5d6,10,,0,0,110.26,0,ok,,10,365463009
24a.sql,6fb1ae21,11,,0,0,5.92,0,ok,,11,670450630
24b.sql,f962f841,11,,0,0,431.86,4,ok,,11,670450630
25a.sql,6d4f612f,8,,0,0,3881.03,6182,ok,,8,616048378
25b.sql,624ce805,8,,0,0,35004.85,,timeout,INTERRUPT Error: Interrupted!,8,616048378
25c.sql,d4fc6a68,8,,0,0,63.34,0,ok,,8,616048378
26a.sql,2ade574a,11,,0,0,479.67,2,ok,,11,351277734
26b.sql,01f126ed,11,,0,0,554.06,0,ok,,11,351277734
26c.sql,849d49a2,11,,0,0,577.23,139,ok,,11,351277734
27a.sql,8b9e2bd0,11,,0,0,580.14,0,ok,,11,365582680
27b.sql,a1219de1,11,,0,0,246.72,2,ok,,11,365582680
27c.sql,47a757ac,11,,0,0,5307.65,2,ok,,11,365582680
28a.sql,8e122e83,13,,0,0,47.09,0,ok,,13,376503289
28b.sql,df645087,13,,0,0,36456.99,,timeout,INTERRUPT Error: Interrupted!,13,376503289
28c.sql,832d4a80,13,,0,0,198.63,2,ok,,13,376503289
29a.sql,3ddb770e,16,,0,0,34007.9,,timeout,INTERRUPT Error: Interrupted!,16,745082582
29b.sql,fab9d846,16,,0,0,32426.46,,timeout,INTERRUPT Error: Interrupted!,16,745082582
29c.sql,9c0b035c,16,,0,0,169.13,0,ok,,16,745082582
2a.sql,a8ff454f,4,,0,0,345.16,16257,ok,,4,68207896
2b.sql,b6b180e6,4,,0,0,267.52,4493,ok,,4,68207896
2c.sql,39eb06e1,4,,0,0,49.31,436,ok,,4,68207896
2d.sql,9f009369,4,,0,0,1064.69,89158,ok,,4,68207896
