query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
10a.sql,4bdddc09,7,"1,4,5,6,8,10,18",6,409.959,587.27,1,ok,,6,302.432
10b.sql,4abc2e7e,7,"1,7,8,15,17,18,21",6,268.799,71.08,1,ok,,6,302.432
10c.sql,db25801c,7,"1,4,5,8,9,16,18",6,336.092,1367.87,1,ok,,6,302.432
11a.sql,5e67b01e,8,"2,3,6,8,14,15,16,17",7,415.911,298.66,1,ok,,7,68.328
11b.sql,105d6e68,8,"2,3,7,8,9,12,14,16",7,375.963,301.29,1,ok,,7,68.328
11c.sql,4b14d026,8,"3,7,8,9,11,15,16,19",7,81.367,46.81,1,ok,,7,68.328
11d.sql,03eb91ab,8,"3,7,8,12,14,15,17,21",7,68.328,23.12,1,ok,,7,68.328
12a.sql,a63e2a1f,8,"2,4,6,7,8,9,10,16",7,489.718,1.63,1,ok,,7,361.318
12b.sql,ac7b020f,8,"2,4,6,7,8,9,10,16",7,489.718,1.64,1,ok,,7,361.318
12c.sql,f662ba28,8,"1,2,4,5,6,8,9,16",7,706.898,5.54,1,ok,,7,361.318
13a.sql,7ce77644,9,"1,2,4,6,8,9,11,16,19",8,680.917,38034.66,,timeout,INTERRUPT Error: Interrupted!,8,361.318
13b.sql,afa540ae,9,"1,2,4,6,8,9,11,16,19",8,680.917,37744.4,,timeout,INTERRUPT Error: Interrupted!,8,361.318
13c.sql,9049d841,9,"2,6,7,8,9,11,16,19,21",8,438.481,1.71,1,ok,,8,361.318
13d.sql,af347e64,9,"2,4,6,8,9,10,13,16,20",8,469.385,1.82,1,ok,,8,361.318
14a.sql,be51f0ff,8,"2,3,8,9,11,14,16,19",7,358.162,298.23,1,ok,,7,352.74
14b.sql,d1f87b22,8,"2,3,6,8,9,11,16,19",7,431.18,7.66,1,ok,,7,352.74
14c.sql,b3fc2041,8,"1,2,4,5,6,8,9,16",7,706.898,36211.15,,timeout,INTERRUPT Error: Interrupted!,7,352.74
15a.sql,290c2d02,9,"2,6,7,8,9,11,12,16,19",8,440.831,11.11,1,ok,,8,370.345
15b.sql,e2d7d302,9,"1,2,4,5,6,8,9,10,16",8,717.714,9.96,1,ok,,8,370.345
15c.sql,e10467b5,9,"2,3,4,6,8,9,10,14,16",8,483.49,186.35,1,ok,,8,370.345
15d.sql,a53b57d6,9,"2,4,6,7,8,9,10,16,21",8,489.718,8.38,1,ok,,8,370.345
16a.sql,b7b672e9,8,"1,3,4,8,10,13,14,20",7,319.65,1365.34,1,ok,,7,342.332
16b.sql,984b293a,8,"1,3,4,6,8,9,14,16",7,393.426,1116.94,1,ok,,7,342.332
16c.sql,49d24a28,8,"1,2,4,6,8,9,10,16",7,686.311,35337.83,,timeout,INTERRUPT Error: Interrupted!,7,342.332
16d.sql,be83e7e0,8,"1,3,4,7,8,10,12,14",7,342.332,1728.76,1,ok,,7,342.332
17a.sql,e38ba1cd,7,"1,2,3,4,6,8,16",6,678.026,3936.97,1,ok,,6,331.516
17b.sql,1c6191c8,7,"1,4,6,7,8,9,16",6,399.653,469.77,1,ok,,6,331.516
17c.sql,95662dd5,7,"1,3,4,7,8,10,14",6,339.983,4267.0,1,ok,,6,331.516
17d.sql,ed63296e,7,"1,4,6,8,9,10,16",6,389.597,5796.46,1,ok,,6,331.516
17e.sql,2e5fd725,7,"1,4,6,7,8,9,16",6,399.653,1929.9,1,ok,,6,331.516
17f.sql,04ab9a5b,7,"1,2,3,5,8,14,16",6,590.569,8380.39,1,ok,,6,331.516
18a.sql,ac6dd694,7,"1,2,4,8,9,16,18",6,601.403,859.4,1,ok,,6,601.403
18b.sql,55f49436,7,"1,4,5,6,8,9,16",6,410.184,2305.77,1,ok,,6,601.403
18c.sql,87536ac0,7,"1,4,6,8,9,10,16",6,389.597,35650.24,,timeout,INTERRUPT Error: Interrupted!,6,601.403
19a.sql,a31dcfb5,10,"1,2,4,5,6,8,9,10,16,18",9,717.714,9043.06,1,ok,,9,655.805
19b.sql,f65b693e,10,"1,2,4,5,6,8,9,10,16,18",9,717.714,36821.73,,timeout,INTERRUPT Error: Interrupted!,9,655.805
19c.sql,ddc3b896,10,"1,2,4,5,6,7,8,10,12,16",9,729.897,36638.91,,timeout,INTERRUPT Error: Interrupted!,9,655.805
19d.sql,85699a2b,10,"1,2,4,5,6,7,8,10,12,16",9,729.897,1264.05,1,ok,,9,655.805
1a.sql,8ffc5ce0,5,"7,8,9,12,21",4,64.603,156.62,1,ok,,4,62.253
1b.sql,38cb038a,5,"6,7,8,9,16",4,136.345,1.43,1,ok,,4,62.253
1c.sql,5858ce6f,5,"2,7,8,9,16",4,358.968,314.52,1,ok,,4,62.253
1d.sql,ed13c3ca,5,"7,8,9,16,21",4,62.253,112.66,1,ok,,4,62.253
20a.sql,9fbd13f5,10,"1,3,4,6,8,11,13,14,19,20",9,388.347,34532.58,,timeout,INTERRUPT Error: Interrupted!,9,340.237
20b.sql,11b59a2a,10,"1,2,3,4,5,6,8,10,13,16",9,720.786,18396.39,1,ok,,9,340.237
20c.sql,aaab8a56,10,"1,3,4,5,6,8,10,13,15,20",9,424.191,295.78,1,ok,,9,340.237
21a.sql,b87bd6cb,9,"1,2,4,6,7,8,12,16,21",8,687.678,2.16,1,ok,,8,365.042
21b.sql,acb964b5,9,"2,3,7,8,12,14,15,17,21",8,365.042,141.94,1,ok,,8,365.042
