query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
10a.sql,4bdddc09,7,"1,4,5,6,8,10,18",6,302.432,0.1,ok
10b.sql,4abc2e7e,7,"1,7,8,15,17,18,21",6,302.432,0.1,ok
10c.sql,db25801c,7,"1,4,5,8,9,16,18",6,302.432,0.1,ok
11a.sql,5e67b01e,8,"2,3,6,8,14,15,16,17",7,68.328,0.1,ok
11b.sql,105d6e68,8,"2,3,7,8,9,12,14,16",7,68.328,0.1,ok
11c.sql,4b14d026,8,"3,7,8,9,11,15,16,19",7,68.328,0.1,ok
11d.sql,03eb91ab,8,"3,7,8,12,14,15,17,21",7,68.328,0.1,ok
12a.sql,a63e2a1f,8,"2,4,6,7,8,9,10,16",7,361.318,0.1,ok
12b.sql,ac7b020f,8,"2,4,6,7,8,9,10,16",7,361.318,0.1,ok
12c.sql,f662ba28,8,"1,2,4,5,6,8,9,16",7,361.318,0.1,ok
13a.sql,7ce77644,9,"1,2,4,6,8,9,11,16,19",8,361.318,0.1,timeout
13b.sql,afa540ae,9,"1,2,4,6,8,9,11,16,19",8,361.318,0.1,timeout
13c.sql,9049d841,9,"2,6,7,8,9,11,16,19,21",8,361.318,0.1,ok
13d.sql,af347e64,9,"2,4,6,8,9,10,13,16,20",8,361.318,0.1,ok
14a.sql,be51f0ff,8,"2,3,8,9,11,14,16,19",7,352.74,0.1,ok
14b.sql,d1f87b22,8,"2,3,6,8,9,11,16,19",7,352.74,0.1,ok
14c.sql,b3fc2041,8,"1,2,4,5,6,8,9,16",7,352.74,0.1,timeout
15a.sql,290c2d02,9,"2,6,7,8,9,11,12,16,19",8,370.345,0.1,ok
15b.sql,e2d7d302,9,"1,2,4,5,6,8,9,10,16",8,370.345,0.1,ok
15c.sql,e10467b5,9,"2,3,4,6,8,9,10,14,16",8,370.345,0.1,ok
15d.sql,a53b57d6,9,"2,4,6,7,8,9,10,16,21",8,370.345,0.1,ok
16a.sql,b7b672e9,8,"1,3,4,8,10,13,14,20",7,342.332,0.1,ok
16b.sql,984b293a,8,"1,3,4,6,8,9,14,16",7,342.332,0.1,ok
16c.sql,49d24a28,8,"1,2,4,6,8,9,10,16",7,342.332,0.1,timeout
16d.sql,be83e7e0,8,"1,3,4,7,8,10,12,14",7,342.332,0.1,ok
17a.sql,e38ba1cd,7,"1,2,3,4,6,8,16",6,331.516,0.1,ok
17b.sql,1c6191c8,7,"1,4,6,7,8,9,16",6,331.516,0.1,ok
17c.sql,95662dd5,7,"1,3,4,7,8,10,14",6,331.516,0.1,ok
17d.sql,ed63296e,7,"1,4,6,8,9,10,16",6,331.516,0.1,ok
17e.sql,2e5fd725,7,"1,4,6,7,8,9,16",6,331.516,0.1,ok
17f.sql,04ab9a5b,7,"1,2,3,5,8,14,16",6,331.516,0.1,ok
18a.sql,ac6dd694,7,"1,2,4,8,9,16,18",6,601.403,0.1,ok
18b.sql,55f49436,7,"1,4,5,6,8,9,16",6,601.403,0.1,ok
18c.sql,87536ac0,7,"1,4,6,8,9,10,16",6,601.403,0.1,timeout
19a.sql,a31dcfb5,10,"1,2,4,5,6,8,9,10,16,18",9,655.805,0.1,ok
19b.sql,f65b693e,10,"1,2,4,5,6,8,9,10,16,18",9,655.805,0.1,timeout
19c.sql,ddc3b896,10,"1,2,4,5,6,7,8,10,12,16",9,655.805,0.1,timeout
19d.sql,85699a2b,10,"1,2,4,5,6,7,8,10,12,16",9,655.805,0.1,ok
1a.sql,8ffc5ce0,5,"7,8,9,12,21",4,62.253,0.1,ok
1b.sql,38cb038a,5,"6,7,8,9,16",4,62.253,0.1,ok
1c.sql,5858ce6f,5,"2,7,8,9,16",4,62.253,0.1,ok
1d.sql,ed13c3ca,5,"7,8,9,16,21",4,62.253,0.1,ok
20a.sql,9fbd13f5,10,"1,3,4,6,8,11,13,14,19,20",9,340.237,0.1,timeout
20b.sql,11b59a2a,10,"1,2,3,4,5,6,8,10,13,16",9,340.237,0.1,ok
20c.sql,aaab8a56,10,"1,3,4,5,6,8,10,13,15,20",9,340.237,0.1,ok
21a.sql,b87bd6cb,9,"1,2,4,6,7,8,12,16,21",8,365.042,0.1,ok
21b.sql,acb964b5,9,"2,3,7,8,12,14,15,17,21",8,365.042,0.1,ok
21c.sql,86201ed8,9,"1,2,3,4,6,8,9,14,16",8,365.042,0.1,ok
22a.sql,986af6e4,11,"1,2,3,4,5,6,8,9,14,16,19",10,375.963,0.1,timeout
22b.sql,5dd32397,11,"1,2,3,7,8,9,11,14,16,19,21",10,375.963,0.1,timeout
22c.sql,4973adf3,11,"2,3,7,8,9,11,12,14,16,19,21",10,375.963,0.1,timeout
22d.sql,96653853,11,"1,2,4,6,8,9,10,11,16,18,19",10,375.963,0.1,ok
23a.sql,e7555d51,11,"1,2,4,7,8,10,11,13,19,20,21",10,365.463,0.1,ok
23b.sql,10fcaf53,11,"2,3,7,8,9,12,13,14,16,20,21",10,365.463,0.1,ok
23c.sql,464cf138,11,"1,2,4,6,8,9,10,11,15,16,19",10,365.463,0.1,timeout
24a.sql,c29a0f6c,12,"1,3,4,5,6,7,8,10,12,14,16,18",11,670.451,0.1,ok
24b.sql,62c816a6,12,"1,2,4,5,6,7,8,10,12,13,16,18",11,670.451,0.1,timeout
25a.sql,d1de0acf,9,"1,3,4,5,6,8,9,14,16",8,616.048,0.1,ok
25b.sql,5c46c3ff,9,"1,2,3,4,6,8,9,14,16",8,616.048,0.1,timeout
25c.sql,f2b73d5b,9,"1,2,3,4,6,8,9,10,16",8,616.048,0.1,timeout
26a.sql,b210fec4,12,"1,2,3,4,5,6,8,9,11,14,16,19",11,351.278,0.1,timeout
26b.sql,aebc6d3a,12,"1,2,3,4,6,8,9,10,11,14,16,19",11,351.278,0.1,timeout
26c.sql,4b472ca6,12,"1,2,4,5,6,7,8,9,10,11,16,19",11,351.278,0.1,timeout
27a.sql,4aaa5750,12,"1,2,3,4,6,7,8,12,14,15,16,17",11,365.583,0.1,ok
27b.sql,e49d252e,12,"2,3,6,7,8,9,12,14,15,16,17,21",11,365.583,0.1,timeout
27c.sql,d88071c6,12,"1,2,3,7,8,12,13,14,15,17,20,21",11,365.583,0.1,ok
28a.sql,20b94c84,14,"1,2,4,6,7,8,9,11,12,13,16,19,20,21",13,376.503,0.1,ok
28b.sql,efbc6bb1,14,"1,2,3,4,5,6,8,9,10,11,14,16,18,19",13,376.503,0.1,ok
28c.sql,b185d4c3,14,"1,2,4,5,6,7,8,9,10,12,13,16,18,20",13,376.503,0.1,ok
29a.sql,311fa67d,17,"1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,20",16,745.083,0.1,ok
29b.sql,e2059c09,17,"1,3,4,5,6,7,8,9,10,11,12,13,14,16,18,19,21",16,745.083,0.1,timeout
29c.sql,1c627bbe,17,"1,2,3,4,5,6,7,8,9,10,12,13,14,16,18,20,21",16,745.083,0.1,timeout
2a.sql,2ceab5a3,5,"3,7,8,12,14",4,68.208,0.1,ok
2b.sql,677528d1,5,"2,3,8,14,16",4,68.208,0.1,ok
2c.sql,132ba551,5,"3,7,8,12,21",4,68.208,0.1,ok
2d.sql,4c10727e,5,"3,7,8,12,14",4,68.208,0.1,ok
30a.sql,8e60ca51,12,"1,2,3,4,5,6,8,9,10,13,14,16",11,616.589,0.1,ok
30b.sql,1a6a0fb1,12,"1,2,4,5,6,8,9,10,13,16,18,20",11,616.589,0.1,ok
30c.sql,014a2d1c,12,"1,2,4,5,6,8,9,10,13,16,18,20",11,616.589,0.1,ok
31a.sql,a9dacb50,11,"1,2,4,5,6,7,8,9,12,16,18",10,639.271,0.1,timeout
31b.sql,c91bde9b,11,"1,3,4,5,6,8,9,10,11,16,19",10,639.271,0.1,ok
31c.sql,fd1339b9,11,"1,2,4,5,6,8,9,10,13,16,20",10,639.271,0.1,ok
32a.sql,ac4f76e2,6,"3,8,13,15,17,20",5,45.105,0.1,ok
32b.sql,633db6e7,6,"3,8,11,15,17,19",5,45.105,0.1,ok
33a.sql,28d9eb1b,14,"2,3,7,8,9,12,13,14,15,16,17,19,20,21",13,64.723,0.1,ok
33b.sql,94955b2f,14,"2,4,6,7,8,9,10,11,12,15,16,17,19,21",13,64.723,0.1,timeout
33c.sql,19abac21,14,"1,3,7,8,9,11,12,13,14,15,17,19,20,21",13,64.723,0.1,ok
3a.sql,35e8beba,4,"2,3,8,14",3,341.699,0.1,ok
3b.sql,2eed9b47,4,"2,8,9,16",3,341.699,0.1,ok
3c.sql,33b1b67b,4,"2,3,8,14",3,341.699,0.1,ok
4a.sql,dc8ab2b4,5,"3,6,8,9,16",4,56.026,0.1,ok
4b.sql,f8577f41,5,"3,8,9,14,16",4,56.026,0.1,ok
4c.sql,e1a1eeb1,5,"3,8,9,14,16",4,56.026,0.1,ok
5a.sql,b4ed814e,5,"2,4,6,10,16",4,347.928,0.1,ok
5b.sql,442c6c55,5,"2,7,8,9,16",4,347.928,0.1,ok
5c.sql,16b95648,5,"1,2,4,6,16",4,347.928,0.1,ok
6a.sql,df20cbac,5,"1,4,5,6,18",4,308.293,0.1,ok
6b.sql,d7cb4dd1,5,"1,3,4,8,14",4,308.293,0.1,ok
6c.sql,0d4f7269,5,"1,2,4,6,16",4,308.293,0.1,ok
