query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
10a.sql,False,0.273,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,aka_title|cast_info|char_name|complete_cast|kind_type|movie_keyword|title,company_name|company_type|movie_companies|role_type,aka_title|complete_cast|kind_type|movie_keyword,7,7,6,ok
10b.sql,False,0.273,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,cast_info|char_name|kind_type|movie_info_idx|movie_keyword|name|title,company_name|company_type|movie_companies|role_type,kind_type|movie_info_idx|movie_keyword|name,7,7,6,ok
10c.sql,False,0.4,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,cast_info|char_name|movie_info|name|person_info|role_type|title,company_name|company_type|movie_companies,movie_info|name|person_info,7,7,6,ok
11a.sql,False,0.455,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,aka_title|company_name|company_type|kind_type|movie_companies|movie_info|movie_keyword|title,keyword|link_type|movie_link,aka_title|kind_type|movie_info,8,8,7,ok
11b.sql,False,0.6,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,company_name|keyword|kind_type|movie_companies|movie_info|movie_keyword|movie_link|title,company_type|link_type,kind_type|movie_info,8,8,7,ok
11c.sql,False,0.6,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,company_name|company_type|kind_type|movie_companies|movie_info|movie_keyword|movie_link|title,keyword|link_type,kind_type|movie_info,8,8,7,ok
11d.sql,False,0.455,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,aka_title|cast_info|company_name|company_type|kind_type|movie_companies|movie_keyword|title,keyword|link_type|movie_link,aka_title|cast_info|kind_type,8,8,7,ok
12a.sql,False,0.364,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,comp_cast_type|company_name|complete_cast|movie_companies|movie_info|movie_keyword|movie_link|title,company_type|info_type|movie_info_idx,comp_cast_type|complete_cast|movie_keyword|movie_link,7,8,7,ok
12b.sql,False,0.5,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,cast_info|company_name|company_type|complete_cast|movie_companies|movie_info|name|title,info_type|movie_info_idx,cast_info|complete_cast|name,7,8,7,ok
12c.sql,False,0.5,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,aka_title|company_name|company_type|kind_type|movie_companies|movie_info|movie_link|title,info_type|movie_info_idx,aka_title|kind_type|movie_link,7,8,7,ok
13a.sql,False,0.417,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,aka_title|company_name|company_type|kind_type|link_type|movie_companies|movie_keyword|movie_link|title,info_type|movie_info|movie_info_idx,aka_title|link_type|movie_keyword|movie_link,8,9,8,ok
13b.sql,False,0.417,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,cast_info|comp_cast_type|company_name|company_type|complete_cast|movie_companies|movie_info|movie_link|title,info_type|kind_type|movie_info_idx,cast_info|comp_cast_type|complete_cast|movie_link,8,9,8,ok
13c.sql,False,0.545,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,company_name|company_type|complete_cast|movie_companies|movie_info|movie_info_idx|movie_keyword|movie_link|title,info_type|kind_type,complete_cast|movie_keyword|movie_link,8,9,8,ok
13d.sql,False,0.214,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,aka_title|cast_info|comp_cast_type|company_name|complete_cast|movie_companies|name|role_type|title,company_type|info_type|kind_type|movie_info|movie_info_idx,aka_title|cast_info|comp_cast_type|complete_cast|name|role_type,8,9,8,ok
14a.sql,False,0.364,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,aka_title|complete_cast|info_type|movie_info|movie_info_idx|movie_link|person_info|title,keyword|kind_type|movie_keyword,aka_title|complete_cast|movie_link|person_info,7,8,7,ok
14b.sql,False,0.364,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,aka_title|info_type|kind_type|movie_companies|movie_info|movie_link|person_info|title,keyword|movie_info_idx|movie_keyword,aka_title|movie_companies|movie_link|person_info,7,8,7,ok
