query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
10a.sql,eb0b0a93,6,char_name|cast_info|company_name|company_type|movie_companies|role_type|title,7,302432232,211.47,1,ok,
10b.sql,3c53ed8d,6,char_name|cast_info|company_name|company_type|movie_companies|role_type|title,7,302432232,80.06,1,ok,
10c.sql,78a61b9f,6,char_name|cast_info|company_name|company_type|movie_companies|role_type|title,7,302432232,255.32,1,ok,
11a.sql,766ea53f,7,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,8,68327928,38.87,1,ok,
11b.sql,5b9d12db,7,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,8,68327928,29.85,1,ok,
11c.sql,348c481b,7,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,8,68327928,298.08,1,ok,
11d.sql,2716323c,7,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,8,68327928,805.33,1,ok,
12a.sql,99f662e1,7,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,7,361317773,89.8,1,ok,
12b.sql,7537d82e,7,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,7,361317773,106.31,1,ok,
12c.sql,5513caec,7,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,7,361317773,96.27,1,ok,
13a.sql,83d370e0,8,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,8,361317787,69.43,1,ok,
13b.sql,58c0c873,8,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,8,361317787,140.65,1,ok,
13c.sql,ef2a4338,8,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,8,361317787,118.5,1,ok,
13d.sql,e9f11c44,8,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,8,361317787,165.02,1,ok,
14a.sql,69fdba0a,7,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,7,352739927,171.89,1,ok,
14b.sql,c68a8f1a,7,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,7,352739927,66.66,1,ok,
14c.sql,b83f197f,7,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,7,352739927,176.81,1,ok,
15a.sql,f693f8a8,8,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,9,370344723,2.63,,error,"Parser Error: syntax error at or near ""at""

LINE 3: FROM aka_title AS at,
                          ^"
