query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
10a.sql,e6ff5ee8,6,date_dim|item|warehouse|store_returns|web_returns|catalog_returns|inventory,7,41676176,30009.2,,error,Query interrupted,6,302432232
10b.sql,9a1fcaf8,6,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|inventory,7,104844380,30013.22,,error,Query interrupted,6,302432232
10c.sql,3bdd5059,6,date_dim|item|warehouse|web_sales|catalog_sales|web_returns|inventory,7,68044995,30015.91,,error,Query interrupted,6,302432232
11a.sql,42ebd30a,7,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|web_returns|inventory,8,70632621,30020.81,,error,Query interrupted,7,68327928
11b.sql,f6a85fb6,7,date_dim|item|warehouse|store_sales|web_sales|web_returns|catalog_returns|inventory,8,86605178,58.0,1,ok,,7,68327928
11c.sql,54401029,7,date_dim|item|warehouse|store_sales|catalog_sales|store_returns|catalog_returns|inventory,8,98657233,30014.58,,error,Query interrupted,7,68327928
11d.sql,b61f449b,7,date_dim|item|warehouse|catalog_sales|store_returns|web_returns|catalog_returns|inventory,8,61857848,91.75,1,ok,,7,68327928
12a.sql,fd28c2f7,7,date_dim|item|warehouse|store_sales|catalog_sales|web_returns|catalog_returns|inventory,8,96715474,30003.93,,error,Query interrupted,7,361317773
12b.sql,4a5c4f61,7,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|catalog_returns|inventory,8,106140983,30002.75,,error,Query interrupted,7,361317773
12c.sql,aa287f00,7,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|inventory,8,107432006,30017.1,,error,Query interrupted,7,361317773
13a.sql,d1a5bb9b,8,date_dim|item|warehouse|store_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,9,99303100,30010.25,,error,Query interrupted,8,361317787
13b.sql,79ecd636,8,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,9,71929224,30006.2,,error,Query interrupted,8,361317787
13c.sql,9e11c0af,8,date_dim|item|warehouse|store_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,9,99303100,30011.73,,error,Query interrupted,8,361317787
13d.sql,68e537f4,8,date_dim|item|warehouse|store_sales|web_sales|store_returns|web_returns|catalog_returns|inventory,9,89192804,30001.73,,error,Query interrupted,8,361317787
14a.sql,c59c45f2,7,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|web_returns|inventory,8,70632621,30011.58,,error,Query interrupted,7,352739927
14b.sql,ca91ec29,7,date_dim|item|warehouse|web_sales|catalog_sales|web_returns|catalog_returns|inventory,8,69341598,30000.65,,error,Query interrupted,7,352739927
14c.sql,9a9f1a4d,7,date_dim|item|warehouse|store_sales|web_sales|web_returns|catalog_returns|inventory,8,86605178,30004.57,,error,Query interrupted,7,352739927
15a.sql,446a82e6,8,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|catalog_returns|inventory,9,108728609,30004.9,,error,Query interrupted,8,370344723
15b.sql,5e77603d,8,date_dim|item|warehouse|store_sales|web_sales|store_returns|web_returns|catalog_returns|inventory,9,89192804,30350.65,,error,Query interrupted,8,370344723
15c.sql,6a639b3e,8,date_dim|item|warehouse|store_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,9,99303100,30007.99,,error,Query interrupted,8,370344723
15d.sql,689af0a2,8,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,9,71929224,30002.36,,error,Query interrupted,8,370344723
16a.sql,b8fddad6,7,date_dim|item|warehouse|web_sales|store_returns|web_returns|catalog_returns|inventory,8,51747552,30001.31,,error,Query interrupted,7,342332477
16b.sql,141237fe,7,date_dim|item|warehouse|store_sales|catalog_sales|web_returns|catalog_returns|inventory,8,96715474,30000.67,,error,Query interrupted,7,342332477
16c.sql,f839a9dc,7,date_dim|item|warehouse|web_sales|catalog_sales|web_returns|catalog_returns|inventory,8,69341598,30000.65,,error,Query interrupted,7,342332477
16d.sql,95755add,7,date_dim|item|warehouse|store_sales|store_returns|web_returns|catalog_returns|inventory,8,79121428,30000.7,,error,Query interrupted,7,342332477
17a.sql,3d538a0f,6,date_dim|item|warehouse|store_sales|store_returns|catalog_returns|inventory,7,78475561,30016.17,,error,Query interrupted,6,331516361
17b.sql,6a380fb5,6,date_dim|item|warehouse|catalog_sales|store_returns|catalog_returns|inventory,7,61211981,30012.71,,error,Query interrupted,6,331516361
17c.sql,62caa9b5,6,date_dim|item|warehouse|store_sales|catalog_sales|store_returns|inventory,7,97360630,30010.9,,error,Query interrupted,6,331516361
17d.sql,16b90916,6,date_dim|item|warehouse|store_sales|catalog_sales|web_returns|inventory,7,95418871,30001.93,,error,Query interrupted,6,331516361
17e.sql,87b8377d,6,date_dim|item|warehouse|web_sales|catalog_sales|catalog_returns|inventory,7,68695731,30001.18,,error,Query interrupted,6,331516361
17f.sql,1cf0ec72,6,date_dim|item|warehouse|catalog_sales|web_returns|catalog_returns|inventory,7,59270222,30000.66,,error,Query interrupted,6,331516361
18a.sql,c899327e,6,date_dim|item|warehouse|store_sales|catalog_sales|catalog_returns|inventory,7,96069607,30001.54,,error,Query interrupted,6,601403228
18b.sql,358f245b,6,date_dim|item|warehouse|catalog_sales|store_returns|web_returns|inventory,7,60561245,30006.94,,error,Query interrupted,6,601403228
18c.sql,cfb571e8,6,date_dim|item|warehouse|store_sales|web_sales|catalog_returns|inventory,7,85959311,30001.83,,error,Query interrupted,6,601403228
19a.sql,0e01376e,9,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,10,109374476,30005.31,,error,Query interrupted,9,655805480
