query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
10a.sql,0059bc71,7,"1,5,7,8,10,11,13",6,50.76,576.81,1,ok,,6,302.432
10b.sql,5fbf891c,7,"1,4,5,7,13,14,16",6,67.384,35391.55,,timeout,INTERRUPT Error: Interrupted!,6,302.432
10c.sql,86d20c19,7,"1,5,7,8,10,13,23",6,50.114,4057.38,1,ok,,6,302.432
11a.sql,3506984a,8,"3,4,7,8,10,11,13,14",7,37.301,34.71,1,ok,,7,68.328
11b.sql,eb487887,8,"1,2,3,5,8,10,13,15",7,97.816,106.08,1,ok,,7,68.328
11c.sql,95e52979,8,"3,5,6,7,8,10,13,14",7,29.132,36.77,1,ok,,7,68.328
11d.sql,0b032d8e,8,"2,3,4,5,8,10,12,13",7,83.484,98.35,1,ok,,7,68.328
12a.sql,c5308a11,8,"2,4,5,7,8,10,12,19",7,72.807,92.89,1,ok,,7,361.318
12b.sql,f28ce854,8,"2,3,4,5,8,9,12,16",7,82.1,215.36,1,ok,,7,361.318
12c.sql,f974db65,8,"2,4,7,8,10,12,15,16",7,62.772,32154.62,,timeout,INTERRUPT Error: Interrupted!,7,361.318
13a.sql,10c34bb6,9,"2,4,5,6,8,10,12,16,19",8,74.107,110.03,1,ok,,8,361.318
13b.sql,671b9fad,9,"2,4,5,7,8,9,12,13,15",8,72.342,17997.86,1,ok,,8,361.318
13c.sql,1b1e4493,9,"2,4,5,8,9,12,15,16,19",8,70.605,164.97,1,ok,,8,361.318
13d.sql,dd620878,9,"2,4,5,8,9,10,12,13,16",8,72.487,23.22,1,ok,,8,361.318
14a.sql,f2102d7c,8,"2,3,4,5,8,9,16,19",7,81.351,407.49,1,ok,,7,352.74
14b.sql,9415e301,8,"2,3,4,5,8,9,12,16",7,82.1,271.9,1,ok,,7,352.74
14c.sql,8a2e25c6,8,"2,4,5,8,15,16,19,20",7,69.337,231.94,1,ok,,7,352.74
15a.sql,5baac4e6,9,"2,3,4,5,7,8,10,11,16",8,84.236,92.54,1,ok,,8,370.345
15b.sql,46835d62,9,"2,3,4,5,7,12,14,16,19",8,81.42,140.62,1,ok,,8,370.345
15c.sql,d4d6f439,9,"2,3,4,6,8,12,13,16,22",8,74.549,1869.19,1,ok,,8,370.345
15d.sql,b1832eed,9,"2,3,4,5,8,11,12,16,17",8,82.229,207.55,1,ok,,8,370.345
16a.sql,ba3dd085,8,"1,3,4,7,8,10,13,23",7,71.749,14.33,1,ok,,7,342.332
16b.sql,ae6a5ef9,8,"1,2,3,4,7,10,13,14",7,107.735,368.42,1,ok,,7,342.332
16c.sql,250d6172,8,"1,3,4,7,8,12,13,14",7,71.179,4844.09,1,ok,,7,342.332
16d.sql,ac03fc07,8,"1,3,4,5,8,10,12,14",7,80.964,15.54,1,ok,,7,342.332
17a.sql,981ed22c,7,"1,4,7,8,12,13,14",6,59.654,1936.83,1,ok,,6,331.516
