query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
10a.sql,0059bc71,7,"1,5,7,8,10,11,13",6,302.432,0.1,ok
10b.sql,5fbf891c,7,"1,4,5,7,13,14,16",6,302.432,0.1,timeout
10c.sql,86d20c19,7,"1,5,7,8,10,13,23",6,302.432,0.1,ok
11a.sql,3506984a,8,"3,4,7,8,10,11,13,14",7,68.328,0.1,ok
11b.sql,eb487887,8,"1,2,3,5,8,10,13,15",7,68.328,0.1,ok
11c.sql,95e52979,8,"3,5,6,7,8,10,13,14",7,68.328,0.1,ok
11d.sql,0b032d8e,8,"2,3,4,5,8,10,12,13",7,68.328,0.1,ok
12a.sql,c5308a11,8,"2,4,5,7,8,10,12,19",7,361.318,0.1,ok
12b.sql,f28ce854,8,"2,3,4,5,8,9,12,16",7,361.318,0.1,ok
12c.sql,f974db65,8,"2,4,7,8,10,12,15,16",7,361.318,0.1,timeout
13a.sql,10c34bb6,9,"2,4,5,6,8,10,12,16,19",8,361.318,0.1,ok
13b.sql,671b9fad,9,"2,4,5,7,8,9,12,13,15",8,361.318,0.1,ok
13c.sql,1b1e4493,9,"2,4,5,8,9,12,15,16,19",8,361.318,0.1,ok
13d.sql,dd620878,9,"2,4,5,8,9,10,12,13,16",8,361.318,0.1,ok
14a.sql,f2102d7c,8,"2,3,4,5,8,9,16,19",7,352.74,0.1,ok
14b.sql,9415e301,8,"2,3,4,5,8,9,12,16",7,352.74,0.1,ok
14c.sql,8a2e25c6,8,"2,4,5,8,15,16,19,20",7,352.74,0.1,ok
15a.sql,5baac4e6,9,"2,3,4,5,7,8,10,11,16",8,370.345,0.1,ok
15b.sql,46835d62,9,"2,3,4,5,7,12,14,16,19",8,370.345,0.1,ok
15c.sql,d4d6f439,9,"2,3,4,6,8,12,13,16,22",8,370.345,0.1,ok
15d.sql,b1832eed,9,"2,3,4,5,8,11,12,16,17",8,370.345,0.1,ok
16a.sql,ba3dd085,8,"1,3,4,7,8,10,13,23",7,342.332,0.1,ok
16b.sql,ae6a5ef9,8,"1,2,3,4,7,10,13,14",7,342.332,0.1,ok
16c.sql,250d6172,8,"1,3,4,7,8,12,13,14",7,342.332,0.1,ok
16d.sql,ac03fc07,8,"1,3,4,5,8,10,12,14",7,342.332,0.1,ok
17a.sql,981ed22c,7,"1,4,7,8,12,13,14",6,331.516,0.1,ok
17b.sql,b0ec1965,7,"1,3,5,8,10,11,12",6,331.516,0.1,ok
17c.sql,81d3797b,7,"1,3,5,7,8,12,13",6,331.516,0.1,ok
17d.sql,1bb92ad6,7,"1,3,4,7,8,13,14",6,331.516,0.1,ok
17e.sql,16d5df36,7,"1,2,6,7,10,13,22",6,331.516,0.1,timeout
17f.sql,5a222c6d,7,"1,3,4,5,8,10,12",6,331.516,0.1,ok
18a.sql,330a00db,7,"1,2,4,13,14,16,23",6,601.403,0.1,ok
18b.sql,74916882,7,"1,2,5,8,12,13,15",6,601.403,0.1,ok
18c.sql,445c1412,7,"1,2,4,8,10,16,23",6,601.403,0.1,ok
19a.sql,73c35fb9,10,"1,2,4,7,8,10,12,13,14,16",9,655.805,0.1,ok
19b.sql,3e04880a,10,"1,2,5,6,8,10,11,13,16,23",9,655.805,0.1,timeout
19c.sql,8e87c226,10,"1,2,4,6,7,8,10,12,13,22",9,655.805,0.1,timeout
19d.sql,9e13a4bb,10,"1,4,5,6,7,8,10,13,22,23",9,655.805,0.1,ok
1a.sql,d2d55df0,5,"4,5,7,8,16",4,62.253,0.1,ok
1b.sql,0abb78b9,5,"4,5,7,8,16",4,62.253,0.1,ok
1c.sql,b7addb1f,5,"2,4,7,13,16",4,62.253,0.1,ok
1d.sql,0e8698a0,5,"3,4,7,8,16",4,62.253,0.1,ok
20a.sql,50a4bc73,10,"1,2,3,4,5,6,7,10,13,14",9,340.237,0.1,timeout
20b.sql,9308f78f,10,"1,4,5,7,8,10,11,13,14,19",9,340.237,0.1,timeout
20c.sql,f70f652e,10,"1,3,4,5,7,8,10,13,14,19",9,340.237,0.1,ok
21a.sql,7cde8a13,9,"2,3,4,6,8,12,15,16,22",8,365.042,0.1,ok
21b.sql,cf84dacc,9,"2,3,4,5,8,11,12,14,15",8,365.042,0.1,ok
21c.sql,60770bed,9,"1,2,5,7,8,10,12,14,22",8,365.042,0.1,ok
22a.sql,d504f42f,11,"2,4,5,7,8,9,10,12,14,15,20",10,375.963,0.1,timeout
22b.sql,ed0fd528,11,"2,3,4,5,8,9,10,11,12,16,17",10,375.963,0.1,timeout
