query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
10a.sql,False,0.0,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,catalog_returns|catalog_sales|customer|customer_demographics|inventory|item|web_sales,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,catalog_returns|catalog_sales|customer|customer_demographics|inventory|item|web_sales,7,7,6,ok
10b.sql,False,0.0,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|customer_address|customer_demographics|item|web_page|web_returns|web_sales,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|customer_address|customer_demographics|item|web_page|web_returns|web_sales,7,7,6,ok
10c.sql,False,0.0,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|customer_address|customer_demographics|date_dim|store_returns|web_sales|web_site,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|customer_address|customer_demographics|date_dim|store_returns|web_sales|web_site,7,7,6,ok
11a.sql,False,0.0,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,catalog_sales|customer|customer_address|customer_demographics|household_demographics|store_returns|store_sales|web_returns,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,catalog_sales|customer|customer_address|customer_demographics|household_demographics|store_returns|store_sales|web_returns,8,8,7,ok
11b.sql,False,0.0,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,catalog_page|catalog_returns|catalog_sales|customer|customer_address|date_dim|household_demographics|store_sales,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,catalog_page|catalog_returns|catalog_sales|customer|customer_address|date_dim|household_demographics|store_sales,8,8,7,ok
11c.sql,False,0.0,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|store_sales,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|store_sales,8,8,7,ok
11d.sql,False,0.0,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer_address|household_demographics|income_band|item|promotion|store_sales|web_page|web_sales,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer_address|household_demographics|income_band|item|promotion|store_sales|web_page|web_sales,8,8,7,ok
12a.sql,False,0.0,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,catalog_page|catalog_sales|customer|customer_address|item|promotion|store|store_sales,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,catalog_page|catalog_sales|customer|customer_address|item|promotion|store|store_sales,7,8,7,ok
12b.sql,False,0.0,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,customer|customer_address|customer_demographics|item|promotion|store|store_sales|web_sales,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,customer|customer_address|customer_demographics|item|promotion|store|store_sales|web_sales,7,8,7,ok
12c.sql,False,0.0,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,catalog_returns|catalog_sales|customer_address|date_dim|household_demographics|store|store_sales|web_sales,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,catalog_returns|catalog_sales|customer_address|date_dim|household_demographics|store|store_sales|web_sales,7,8,7,ok
13a.sql,False,0.0,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,catalog_page|catalog_sales|customer|customer_address|customer_demographics|item|web_page|web_sales|web_site,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,catalog_page|catalog_sales|customer|customer_address|customer_demographics|item|web_page|web_sales|web_site,8,9,8,ok
13b.sql,False,0.0,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,catalog_sales|customer|customer_address|customer_demographics|item|promotion|store_sales|web_returns|web_sales,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,catalog_sales|customer|customer_address|customer_demographics|item|promotion|store_sales|web_returns|web_sales,8,9,8,ok
13c.sql,False,0.0,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer_address|date_dim|household_demographics|item|promotion|store_sales|web_page|web_returns|web_sales,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer_address|date_dim|household_demographics|item|promotion|store_sales|web_page|web_returns|web_sales,8,9,8,ok
13d.sql,False,0.0,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|customer_address|customer_demographics|item|store|store_returns|store_sales|web_returns|web_sales,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|customer_address|customer_demographics|item|store|store_returns|store_sales|web_returns|web_sales,8,9,8,ok
14a.sql,False,0.0,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer_address|customer_demographics|date_dim|promotion|store_sales|web_page|web_sales|web_site,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer_address|customer_demographics|date_dim|promotion|store_sales|web_page|web_sales|web_site,7,8,7,ok
14b.sql,False,0.0,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,catalog_sales|customer|customer_address|date_dim|household_demographics|promotion|store_sales|web_sales,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,catalog_sales|customer|customer_address|date_dim|household_demographics|promotion|store_sales|web_sales,7,8,7,ok
14c.sql,False,0.0,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer|customer_address|household_demographics|item|promotion|store_sales|web_returns|web_sales,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer|customer_address|household_demographics|item|promotion|store_sales|web_returns|web_sales,7,8,7,ok
15a.sql,False,0.0,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,catalog_page|catalog_sales|customer|household_demographics|item|promotion|store_sales|web_page|web_returns,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,catalog_page|catalog_sales|customer|household_demographics|item|promotion|store_sales|web_page|web_returns,9,9,8,ok
15b.sql,False,0.0,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|customer_address|household_demographics|item|store_sales|web_page|web_returns|web_sales|web_site,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|customer_address|household_demographics|item|store_sales|web_page|web_returns|web_sales|web_site,9,9,8,ok
15c.sql,False,0.0,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|household_demographics|store_sales|web_page|web_returns,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,catalog_returns|catalog_sales|customer|customer_address|customer_demographics|household_demographics|store_sales|web_page|web_returns,9,9,8,ok
15d.sql,False,0.0,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,catalog_sales|customer|customer_demographics|item|promotion|store_sales|web_page|web_returns|web_sales,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,catalog_sales|customer|customer_demographics|item|promotion|store_sales|web_page|web_returns|web_sales,9,9,8,ok
16a.sql,False,0.0,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_page|catalog_returns|catalog_sales|customer|date_dim|store_returns|web_returns|web_sales,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_page|catalog_returns|catalog_sales|customer|date_dim|store_returns|web_returns|web_sales,8,8,7,ok
16b.sql,False,0.0,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_sales|customer_demographics|date_dim|item|promotion|web_page|web_returns|web_sales,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_sales|customer_demographics|date_dim|item|promotion|web_page|web_returns|web_sales,8,8,7,ok
16c.sql,False,0.0,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_returns|catalog_sales|date_dim|inventory|item|promotion|warehouse|web_sales,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_returns|catalog_sales|date_dim|inventory|item|promotion|warehouse|web_sales,8,8,7,ok
16d.sql,False,0.0,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|customer_demographics|date_dim|promotion|store|store_returns|store_sales|web_sales,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|customer_demographics|date_dim|promotion|store|store_returns|store_sales|web_sales,8,8,7,ok
17a.sql,False,0.0,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_returns|date_dim|inventory|item|store_sales|time_dim|warehouse,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_returns|date_dim|inventory|item|store_sales|time_dim|warehouse,7,7,6,ok
17b.sql,False,0.0,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_returns|date_dim|inventory|item|warehouse|web_page|web_sales,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_returns|date_dim|inventory|item|warehouse|web_page|web_sales,7,7,6,ok
17c.sql,False,0.0,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_returns|date_dim|inventory|web_page|web_returns|web_sales|web_site,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,catalog_returns|date_dim|inventory|web_page|web_returns|web_sales|web_site,7,7,6,ok
