query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
10a.sql,02ad8321,6,nation|region|orders|supplier|partsupp|lineitem|customer,7,136972015,30008.91,,timeout,INTERRUPT Error: Interrupted!,6,302432232
10b.sql,b05b4d29,6,nation|supplier|lineitem|part|partsupp|region|customer,7,123072015,30041.08,,timeout,INTERRUPT Error: Interrupted!,6,302432232
10c.sql,6b5bea81,6,orders|nation|lineitem|region|supplier|part|customer,7,129972015,2859.42,98973,ok,,6,302432232
11a.sql,ff52960b,7,nation|supplier|partsupp|lineitem|customer|orders|part|region,8,139572015,32865.92,,timeout,INTERRUPT Error: Interrupted!,7,68327928
11b.sql,5b70f42f,7,nation|customer|orders|supplier|lineitem|partsupp|part|region,8,139572015,30016.0,,timeout,INTERRUPT Error: Interrupted!,7,68327928
11c.sql,c85a5d63,7,nation|supplier|customer|partsupp|part|orders|lineitem|region,8,139572015,30018.37,,timeout,INTERRUPT Error: Interrupted!,7,68327928
11d.sql,7af24e36,7,nation|customer|supplier|partsupp|orders|lineitem|part|region,8,139572015,33936.71,,timeout,INTERRUPT Error: Interrupted!,7,68327928
12a.sql,ae31617d,7,nation|supplier|customer|partsupp|orders|lineitem|part|region,8,139572015,33793.2,,timeout,INTERRUPT Error: Interrupted!,7,361317773
12b.sql,68babe1c,7,nation|supplier|partsupp|lineitem|orders|customer|part|region,8,139572015,32818.14,,timeout,INTERRUPT Error: Interrupted!,7,361317773
12c.sql,859bc516,7,nation|customer|orders|lineitem|supplier|partsupp|part|region,8,139572015,2195.15,1,ok,,7,361317773
13a.sql,e6d80325,7,nation|customer|supplier|partsupp|orders|lineitem|part|region,8,139572015,30126.15,,timeout,INTERRUPT Error: Interrupted!,8,361317787
13b.sql,49ca52e6,7,nation|customer|supplier|lineitem|partsupp|orders|part|region,8,139572015,30049.53,,timeout,INTERRUPT Error: Interrupted!,8,361317787
13c.sql,3aecbb99,7,nation|supplier|partsupp|customer|part|lineitem|orders|region,8,139572015,34614.66,,timeout,INTERRUPT Error: Interrupted!,8,361317787
13d.sql,3e522725,7,nation|supplier|customer|lineitem|part|orders|partsupp|region,8,139572015,30033.24,,timeout,INTERRUPT Error: Interrupted!,8,361317787
14a.sql,31818b88,7,nation|supplier|customer|orders|partsupp|lineitem|part|region,8,139572015,33908.43,,timeout,INTERRUPT Error: Interrupted!,7,352739927
14b.sql,2615dfac,7,nation|supplier|lineitem|part|orders|partsupp|customer|region,8,139572015,35573.07,,timeout,INTERRUPT Error: Interrupted!,7,352739927
14c.sql,675a018f,7,nation|customer|supplier|orders|lineitem|part|partsupp|region,8,139572015,30074.27,,timeout,INTERRUPT Error: Interrupted!,7,352739927
15a.sql,f5adabce,7,nation|supplier|customer|partsupp|part|lineitem|orders|region,8,139572015,31338.14,,timeout,INTERRUPT Error: Interrupted!,8,370344723
15b.sql,b34f17d4,7,nation|supplier|partsupp|lineitem|part|orders|customer|region,8,139572015,30420.34,,timeout,INTERRUPT Error: Interrupted!,8,370344723
15c.sql,3de34422,7,nation|customer|orders|supplier|partsupp|lineitem|part|region,8,139572015,33831.53,,timeout,INTERRUPT Error: Interrupted!,8,370344723
15d.sql,d49a24d3,7,nation|supplier|lineitem|part|orders|partsupp|customer|region,8,139572015,30335.73,,timeout,INTERRUPT Error: Interrupted!,8,370344723
16a.sql,cb4abe0c,7,nation|customer|orders|supplier|partsupp|lineitem|part|region,8,139572015,35271.04,,timeout,INTERRUPT Error: Interrupted!,7,342332477
16b.sql,3388690c,7,nation|customer|supplier|partsupp|part|lineitem|orders|region,8,139572015,30014.08,,timeout,INTERRUPT Error: Interrupted!,7,342332477
