query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
10a.sql,195bc859,7,"1,2,3,4,5,7,8",6,139.422,144.6,1,ok,,6,302.432
10b.sql,bb4ed012,7,"1,2,3,4,6,7,8",6,136.872,113.16,1,ok,,6,302.432
10c.sql,8ba212eb,7,"1,2,3,5,6,7,8",6,136.972,96.43,1,ok,,6,302.432
11a.sql,9a77e754,8,"1,2,3,4,5,6,7,8",7,139.572,1.35,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",7,68.328
11b.sql,41d273b9,8,"1,2,3,4,5,6,7,8",7,139.572,1.21,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",7,68.328
11c.sql,3b7d2ab1,8,"1,2,3,4,5,6,7,8",7,139.572,1.19,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",7,68.328
11d.sql,89b1e3b1,8,"1,2,3,4,5,6,7,8",7,139.572,1.12,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",7,68.328
12a.sql,a818f2b8,8,"1,2,3,4,5,6,7,8",7,139.572,100.28,1,ok,,7,361.318
12b.sql,97000f5e,8,"1,2,3,4,5,6,7,8",7,139.572,156.18,1,ok,,7,361.318
12c.sql,baf0403e,8,"1,2,3,4,5,6,7,8",7,139.572,142.81,1,ok,,7,361.318
13a.sql,00570873,8,"1,2,3,4,5,6,7,8",7,139.572,101.07,1,ok,,8,361.318
13b.sql,ebb8c8a2,8,"1,2,3,4,5,6,7,8",7,139.572,138.54,1,ok,,8,361.318
13c.sql,6308156a,8,"1,2,3,4,5,6,7,8",7,139.572,162.88,1,ok,,8,361.318
13d.sql,1328124c,8,"1,2,3,4,5,6,7,8",7,139.572,146.71,1,ok,,8,361.318
14a.sql,763bbd4e,8,"1,2,3,4,5,6,7,8",7,139.572,138.4,1,ok,,7,352.74
14b.sql,ed9b471e,8,"1,2,3,4,5,6,7,8",7,139.572,127.89,1,ok,,7,352.74
14c.sql,8fcabed6,8,"1,2,3,4,5,6,7,8",7,139.572,132.48,1,ok,,7,352.74
15a.sql,f5ce98d4,8,"1,2,3,4,5,6,7,8",7,139.572,113.57,1,ok,,8,370.345
15b.sql,934ae374,8,"1,2,3,4,5,6,7,8",7,139.572,87.39,1,ok,,8,370.345
15c.sql,3be6c7ee,8,"1,2,3,4,5,6,7,8",7,139.572,84.73,1,ok,,8,370.345
15d.sql,3e18a7dc,8,"1,2,3,4,5,6,7,8",7,139.572,128.17,1,ok,,8,370.345
16a.sql,bf6ffb5e,8,"1,2,3,4,5,6,7,8",7,139.572,110.63,1,ok,,7,342.332
16b.sql,c370b660,8,"1,2,3,4,5,6,7,8",7,139.572,102.83,1,ok,,7,342.332
16c.sql,2051686e,8,"1,2,3,4,5,6,7,8",7,139.572,110.49,1,ok,,7,342.332
16d.sql,367b4ef5,8,"1,2,3,4,5,6,7,8",7,139.572,104.29,1,ok,,7,342.332
17a.sql,a7e504c9,7,"1,2,3,4,6,7,8",6,136.872,130.85,1,ok,,6,331.516
17b.sql,82d5d94d,7,"1,2,3,4,5,6,7",6,139.572,92.77,1,ok,,6,331.516
17c.sql,6e7995ee,7,"1,2,3,5,6,7,8",6,136.972,177.21,1,ok,,6,331.516
17d.sql,6da94b55,7,"1,2,3,4,6,7,8",6,136.872,136.94,1,ok,,6,331.516
17e.sql,aebdce50,7,"1,2,3,4,5,6,7",6,139.572,116.04,1,ok,,6,331.516
17f.sql,6f233089,7,"1,2,3,4,6,7,8",6,136.872,100.19,1,ok,,6,331.516
18a.sql,47b5892b,7,"1,2,3,4,5,6,7",6,139.572,126.33,1,ok,,6,601.403
18b.sql,83fd6e95,7,"1,2,3,4,6,7,8",6,136.872,102.47,1,ok,,6,601.403
18c.sql,955acc5c,7,"1,2,3,4,5,6,7",6,139.572,95.72,1,ok,,6,601.403
19a.sql,f748f246,8,"1,2,3,4,5,6,7,8",7,139.572,133.16,1,ok,,9,655.805
19b.sql,cee544f0,8,"1,2,3,4,5,6,7,8",7,139.572,105.83,1,ok,,9,655.805
19c.sql,e01f3955,8,"1,2,3,4,5,6,7,8",7,139.572,102.57,1,ok,,9,655.805
19d.sql,0b9423d2,8,"1,2,3,4,5,6,7,8",7,139.572,132.14,1,ok,,9,655.805
1a.sql,10c11f7e,5,"1,2,5,7,8",4,127.222,67.6,1,ok,,4,62.253
1b.sql,f92a4f0b,5,"3,5,6,7,8",4,12.45,1042.19,1,ok,,4,62.253
1c.sql,493bc6c7,5,"2,5,6,7,8",4,19.35,50.55,1,ok,,4,62.253
1d.sql,328b7082,5,"1,2,5,7,8",4,127.222,1.04,1,ok,,4,62.253
