query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
10a.sql,195bc859,7,"1,2,3,4,5,7,8",6,302.432,0.1,ok
10b.sql,bb4ed012,7,"1,2,3,4,6,7,8",6,302.432,0.1,ok
10c.sql,8ba212eb,7,"1,2,3,5,6,7,8",6,302.432,0.1,ok
11a.sql,9a77e754,8,"1,2,3,4,5,6,7,8",7,68.328,0.1,error
11b.sql,41d273b9,8,"1,2,3,4,5,6,7,8",7,68.328,0.1,error
11c.sql,3b7d2ab1,8,"1,2,3,4,5,6,7,8",7,68.328,0.1,error
11d.sql,89b1e3b1,8,"1,2,3,4,5,6,7,8",7,68.328,0.1,error
12a.sql,a818f2b8,8,"1,2,3,4,5,6,7,8",7,361.318,0.1,ok
12b.sql,97000f5e,8,"1,2,3,4,5,6,7,8",7,361.318,0.1,ok
12c.sql,baf0403e,8,"1,2,3,4,5,6,7,8",7,361.318,0.1,ok
13a.sql,00570873,8,"1,2,3,4,5,6,7,8",8,361.318,0.1,ok
13b.sql,ebb8c8a2,8,"1,2,3,4,5,6,7,8",8,361.318,0.1,ok
13c.sql,6308156a,8,"1,2,3,4,5,6,7,8",8,361.318,0.1,ok
13d.sql,1328124c,8,"1,2,3,4,5,6,7,8",8,361.318,0.1,ok
14a.sql,763bbd4e,8,"1,2,3,4,5,6,7,8",7,352.74,0.1,ok
14b.sql,ed9b471e,8,"1,2,3,4,5,6,7,8",7,352.74,0.1,ok
14c.sql,8fcabed6,8,"1,2,3,4,5,6,7,8",7,352.74,0.1,ok
15a.sql,f5ce98d4,8,"1,2,3,4,5,6,7,8",8,370.345,0.1,ok
15b.sql,934ae374,8,"1,2,3,4,5,6,7,8",8,370.345,0.1,ok
15c.sql,3be6c7ee,8,"1,2,3,4,5,6,7,8",8,370.345,0.1,ok
15d.sql,3e18a7dc,8,"1,2,3,4,5,6,7,8",8,370.345,0.1,ok
16a.sql,bf6ffb5e,8,"1,2,3,4,5,6,7,8",7,342.332,0.1,ok
16b.sql,c370b660,8,"1,2,3,4,5,6,7,8",7,342.332,0.1,ok
16c.sql,2051686e,8,"1,2,3,4,5,6,7,8",7,342.332,0.1,ok
16d.sql,367b4ef5,8,"1,2,3,4,5,6,7,8",7,342.332,0.1,ok
17a.sql,a7e504c9,7,"1,2,3,4,6,7,8",6,331.516,0.1,ok
17b.sql,82d5d94d,7,"1,2,3,4,5,6,7",6,331.516,0.1,ok
17c.sql,6e7995ee,7,"1,2,3,5,6,7,8",6,331.516,0.1,ok
17d.sql,6da94b55,7,"1,2,3,4,6,7,8",6,331.516,0.1,ok
17e.sql,aebdce50,7,"1,2,3,4,5,6,7",6,331.516,0.1,ok
17f.sql,6f233089,7,"1,2,3,4,6,7,8",6,331.516,0.1,ok
18a.sql,47b5892b,7,"1,2,3,4,5,6,7",6,601.403,0.1,ok
18b.sql,83fd6e95,7,"1,2,3,4,6,7,8",6,601.403,0.1,ok
18c.sql,955acc5c,7,"1,2,3,4,5,6,7",6,601.403,0.1,ok
19a.sql,f748f246,8,"1,2,3,4,5,6,7,8",9,655.805,0.1,ok
19b.sql,cee544f0,8,"1,2,3,4,5,6,7,8",9,655.805,0.1,ok
19c.sql,e01f3955,8,"1,2,3,4,5,6,7,8",9,655.805,0.1,ok
19d.sql,0b9423d2,8,"1,2,3,4,5,6,7,8",9,655.805,0.1,ok
1a.sql,10c11f7e,5,"1,2,5,7,8",4,62.253,0.1,ok
1b.sql,f92a4f0b,5,"3,5,6,7,8",4,62.253,0.1,ok
1c.sql,493bc6c7,5,"2,5,6,7,8",4,62.253,0.1,ok
1d.sql,328b7082,5,"1,2,5,7,8",4,62.253,0.1,ok
20a.sql,fe7e4d1f,8,"1,2,3,4,5,6,7,8",9,340.237,0.1,ok
20b.sql,43ce8178,8,"1,2,3,4,5,6,7,8",9,340.237,0.1,ok
20c.sql,0d641db9,8,"1,2,3,4,5,6,7,8",9,340.237,0.1,ok
21a.sql,fd1d4cae,8,"1,2,3,4,5,6,7,8",8,365.042,0.1,ok
21b.sql,be54303b,8,"1,2,3,4,5,6,7,8",8,365.042,0.1,ok
21c.sql,09505027,8,"1,2,3,4,5,6,7,8",8,365.042,0.1,ok
22a.sql,4069603c,8,"1,2,3,4,5,6,7,8",10,375.963,0.1,ok
22b.sql,47ca4faa,8,"1,2,3,4,5,6,7,8",10,375.963,0.1,ok
22c.sql,84b39e49,8,"1,2,3,4,5,6,7,8",10,375.963,0.1,ok
22d.sql,91ca1903,8,"1,2,3,4,5,6,7,8",10,375.963,0.1,ok
23a.sql,94be69d5,8,"1,2,3,4,5,6,7,8",10,365.463,0.1,ok
23b.sql,367fafcc,8,"1,2,3,4,5,6,7,8",10,365.463,0.1,ok
23c.sql,39277af6,8,"1,2,3,4,5,6,7,8",10,365.463,0.1,ok
24a.sql,d32be88f,8,"1,2,3,4,5,6,7,8",11,670.451,0.1,ok
24b.sql,7c100827,8,"1,2,3,4,5,6,7,8",11,670.451,0.1,ok
25a.sql,1afc9439,8,"1,2,3,4,5,6,7,8",8,616.048,0.1,ok
25b.sql,18db7c03,8,"1,2,3,4,5,6,7,8",8,616.048,0.1,ok
25c.sql,5546f175,8,"1,2,3,4,5,6,7,8",8,616.048,0.1,ok
26a.sql,6faa9354,8,"1,2,3,4,5,6,7,8",11,351.278,0.1,ok
26b.sql,3a6eb9ef,8,"1,2,3,4,5,6,7,8",11,351.278,0.1,ok
26c.sql,121a50ad,8,"1,2,3,4,5,6,7,8",11,351.278,0.1,ok
27a.sql,175d66aa,8,"1,2,3,4,5,6,7,8",11,365.583,0.1,ok
27b.sql,3772910b,8,"1,2,3,4,5,6,7,8",11,365.583,0.1,ok
27c.sql,eca83e1d,8,"1,2,3,4,5,6,7,8",11,365.583,0.1,ok
28a.sql,aa2dbf58,8,"1,2,3,4,5,6,7,8",13,376.503,0.1,ok
28b.sql,f5d13da8,8,"1,2,3,4,5,6,7,8",13,376.503,0.1,ok
28c.sql,bbe66471,8,"1,2,3,4,5,6,7,8",13,376.503,0.1,ok
29a.sql,8d7fa2fb,8,"1,2,3,4,5,6,7,8",16,745.083,0.1,ok
29b.sql,bf1ed8c6,8,"1,2,3,4,5,6,7,8",16,745.083,0.1,ok
29c.sql,a76b98e7,8,"1,2,3,4,5,6,7,8",16,745.083,0.1,ok
2a.sql,2214872c,5,"1,3,6,7,8",4,68.208,0.1,error
2b.sql,1fee993e,5,"3,4,6,7,8",4,68.208,0.1,error
2c.sql,7a22b6db,5,"1,2,3,4,5",4,68.208,0.1,error
2d.sql,9cacf418,5,"1,3,4,6,7",4,68.208,0.1,error
30a.sql,9b75b782,8,"1,2,3,4,5,6,7,8",11,616.589,0.1,ok
30b.sql,cec8cc05,8,"1,2,3,4,5,6,7,8",11,616.589,0.1,ok
30c.sql,e89a1895,8,"1,2,3,4,5,6,7,8",11,616.589,0.1,ok
31a.sql,ac33fac8,8,"1,2,3,4,5,6,7,8",10,639.271,0.1,ok
31b.sql,c342ef4b,8,"1,2,3,4,5,6,7,8",10,639.271,0.1,ok
31c.sql,bc668f7b,8,"1,2,3,4,5,6,7,8",10,639.271,0.1,ok
32a.sql,495974aa,6,"1,3,4,6,7,8",5,45.105,0.1,error
32b.sql,4691d8aa,6,"1,2,3,4,5,6",5,45.105,0.1,error
33a.sql,713afbea,8,"1,2,3,4,5,6,7,8",13,64.723,0.1,ok
33b.sql,056c0c5a,8,"1,2,3,4,5,6,7,8",13,64.723,0.1,timeout
33c.sql,43b7b6c6,8,"1,2,3,4,5,6,7,8",13,64.723,0.1,timeout
3a.sql,596263c1,4,"1,2,4,5",3,341.699,0.1,ok
3b.sql,e57129b8,4,"1,2,3,6",3,341.699,0.1,ok
