query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
10a.sql,False,0.0,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|lineitem|nation|orders|part|region|supplier,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|lineitem|nation|orders|part|region|supplier,7,7,6,ok
10b.sql,False,0.0,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|lineitem|nation|orders|part|partsupp|supplier,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|lineitem|nation|orders|part|partsupp|supplier,7,7,6,ok
10c.sql,False,0.0,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|lineitem|nation|orders|partsupp|region|supplier,cast_info|char_name|company_name|company_type|movie_companies|role_type|title,customer|lineitem|nation|orders|partsupp|region|supplier,7,7,6,ok
11a.sql,False,0.0,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,7,ok
11b.sql,False,0.0,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,7,ok
11c.sql,False,0.0,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,7,ok
11d.sql,False,0.0,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|keyword|link_type|movie_companies|movie_keyword|movie_link|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,7,ok
12a.sql,False,0.0,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,7,8,7,ok
12b.sql,False,0.0,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,7,8,7,ok
12c.sql,False,0.0,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|info_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,7,8,7,ok
13a.sql,False,0.0,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,8,ok
13b.sql,False,0.0,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,8,ok
13c.sql,False,0.0,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,8,ok
13d.sql,False,0.0,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,company_name|company_type|info_type|kind_type|movie_companies|movie_info|movie_info_idx|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,8,ok
14a.sql,False,0.0,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,7,8,7,ok
14b.sql,False,0.0,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,7,8,7,ok
14c.sql,False,0.0,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,info_type|keyword|kind_type|movie_info|movie_info_idx|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,7,8,7,ok
15a.sql,False,0.0,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,9,8,8,ok
15b.sql,False,0.0,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,9,8,8,ok
15c.sql,False,0.0,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,9,8,8,ok
15d.sql,False,0.0,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,aka_title|company_name|company_type|info_type|keyword|movie_companies|movie_info|movie_keyword|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,9,8,8,ok
16a.sql,False,0.0,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,7,ok
16b.sql,False,0.0,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,7,ok
16c.sql,False,0.0,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,7,ok
16d.sql,False,0.0,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,7,ok
17a.sql,False,0.0,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|supplier,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,customer|lineitem|nation|orders|part|partsupp|supplier,7,7,6,ok
