query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg
q01.sql,dd06b0b7,2,"6,10",1,4.049,107.02,100,ok,
q02.sql,a8073d02,5,"0,10",11,1.493,214.93,2513,ok,
q03.sql,4f3a62e9,3,"2,10,13",2,39.356,72.69,89,ok,
q04.sql,2cad2d98,3,"2,8,10",2,40.506,803.51,6,ok,
q05.sql,c977cb7b,10,"0,5,10,22",17,11.589,130.5,100,ok,
q06.sql,7e4fe4cd,5,"2,8,10,12,13",4,41.706,70.53,46,ok,
q07.sql,b9c97102,5,"2,3,10,13,16",4,50.89,180.18,100,ok,
q08.sql,42dd202b,3,"2,10,22",5,38.907,371.12,5,ok,
q09.sql,488bc66d,1,2,0,37.445,278.29,1,ok,
q10.sql,28565af2,3,"3,8,12",2,13.875,115.61,6,ok,
q11.sql,60cff8c1,3,"2,8,10",2,40.506,469.35,90,ok,
q12.sql,13a40079,3,"5,10,13",2,11.982,37.57,100,ok,
q13.sql,cfb2a361,6,"2,3,10,12,15,22",5,51.21,160.13,1,ok,
q14.sql,3a2ad6f3,3,"0,10,13",5,1.919,663.12,100,ok,
q15.sql,f393096f,4,"4,8,10,12",3,23.993,60.24,100,ok,
q16.sql,a16df075,4,"0,4,10,12",3,22.401,93.59,1,ok,
q17.sql,845cd66f,6,"2,4,6,10,13,22",7,62.126,78.64,0,ok,
q18.sql,eeef17ee,6,"3,4,8,10,12,13",6,35.967,131.47,100,ok,
q19.sql,ba1068c7,6,"2,8,10,12,13,22",5,41.707,55.9,100,ok,
q20.sql,563b2cbe,3,"4,10,13",2,22.093,32.9,100,ok,
q21.sql,03a03888,5,"0,10,13,23",6,1.927,21.92,100,ok,
q22.sql,fee0a108,3,"1,10,13",2,37.146,764.79,100,ok,
q23.sql,3e3a3c2c,2,"2,10",5,38.906,931.93,4,ok,
q24.sql,02976093,6,"2,6,8,12,13,22",5,42.833,83.07,1,ok,
q25.sql,81846e91,6,"2,4,6,10,13,22",7,62.126,41.88,1,ok,
q26.sql,4a542b1d,5,"3,4,10,13,16",4,33.626,84.19,100,ok,
q27.sql,3d7af7aa,5,"2,3,10,13,22",4,50.882,162.89,100,ok,
q28.sql,0893a28e,1,0,2,0.008,324.37,1,ok,
q29.sql,7c88434d,6,"2,4,6,10,13,22",7,62.126,86.25,1,ok,
q30.sql,142be53f,3,"10,11,12",2,2.857,73.4,100,ok,
q31.sql,6e795a31,3,"2,10,12",2,39.656,176.11,44,ok,
q32.sql,e0db91be,3,"4,10,13",2,22.093,23.02,1,ok,
q33.sql,197a33e8,4,"2,10,12,13",3,40.106,59.63,100,ok,
q34.sql,7d1d2add,5,"0,10,15,22",5,1.506,65.34,455,ok,
q35.sql,3741aa6b,3,"3,8,12",2,13.875,190.35,100,ok,
q36.sql,23c70ed4,4,"2,10,13,22",3,39.357,204.59,100,ok,
q37.sql,1af6875e,4,"1,4,10,13",3,57.328,17.59,1,ok,
q38.sql,c2f43dd1,4,"0,8,10",4,3.077,180.42,1,ok,
q39.sql,b013af60,8,"0,10,13,23",8,1.951,101.06,243,ok,
q40.sql,6d1a3777,2,"4,7",1,21.478,36.98,100,ok,
q41.sql,cec4697e,1,13,0,0.45,20.23,4,ok,
q42.sql,b451253b,3,"2,10,13",2,39.356,22.72,10,ok,
q43.sql,ad0c3ca4,3,"2,10,22",2,38.907,77.79,6,ok,
q44.sql,0ee437c2,1,0,1,0.008,103.83,10,ok,
q45.sql,2721b620,5,"5,8,10,12,13",4,14.332,45.71,19,ok,
q46.sql,9a2e3d52,7,"0,10,12,15,22",8,2.264,124.88,100,ok,
q47.sql,fed3493e,4,"2,10,13,22",3,39.357,388.78,100,ok,
q48.sql,cefd4089,5,"2,3,10,12,22",4,51.182,152.03,1,ok,
