query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
q01.sql,1c267055,1,name|person_info,2,119934001,94.42,1,ok,,1,4048606
q02.sql,3aaa8941,11,name|cast_info|person_info|title|char_name|role_type|info_type|aka_title|movie_info|movie_info_idx|kind_type|aka_name,12,723136452,6074.53,1,ok,,11,1492980
q03.sql,df177135,2,title|complete_cast|movie_info,3,327594488,51.96,1,ok,,2,39356232
q04.sql,370060c3,2,title|cast_info|movie_info,3,544520208,721.16,1,ok,,2,40506232
q05.sql,7c28ed87,17,cast_info|title|name|role_type|aka_title|movie_companies|movie_info|movie_info_idx|movie_keyword|complete_cast|kind_type|aka_name|person_info|company_name|company_type|info_type|comp_cast_type|char_name,18,760471604,33698.88,,timeout,INTERRUPT Error: Interrupted!,17,11588836
q06.sql,ae2eba1d,4,title|info_type|aka_title|kind_type|movie_info,5,332476577,108.43,1,ok,,4,41706232
q07.sql,ff6b0c30,4,title|aka_title|complete_cast|kind_type|movie_info,5,333016582,177.99,1,ok,,4,50890032
q08.sql,e8680143,5,info_type|movie_info_idx|person_info|name|aka_name|movie_info,6,438505136,1.47,1,ok,,5,38906712
q09.sql,3ff0e3f8,0,movie_info,1,296714400,54.28,1,ok,,0,37445252
q10.sql,50ca0c1a,2,title|movie_info|movie_keyword,3,340625934,124.03,1,ok,,2,13874800
q11.sql,d6db2364,2,title|movie_info_idx|movie_info,3,338094424,219.46,1,ok,,2,40506232
q12.sql,52e9b572,2,cast_info|title|char_name,3,279209198,842.91,1,ok,,2,11982356
q13.sql,e492e11b,5,title|info_type|movie_info_idx|movie_link|link_type|movie_info,6,338214787,28.33,1,ok,,5,51210312
q14.sql,3b553020,5,name|cast_info|title|aka_title|kind_type|aka_name,6,309886419,188.44,1,ok,,5,1918980
q15.sql,070816e4,3,person_info|info_type|movie_info_idx|name,4,130974620,1.49,1,ok,,3,23992652
q16.sql,12733516,3,cast_info|aka_name|person_info|name,4,348216181,226.64,1,ok,,3,22400652
q17.sql,19174eef,7,title|info_type|movie_companies|movie_info_idx|complete_cast|company_name|comp_cast_type|movie_info,8,361858117,115.18,1,ok,,7,62126010
q18.sql,5e298f89,6,title|movie_companies|movie_info|complete_cast|company_name|comp_cast_type|movie_keyword,7,364389288,441.2,1,ok,,6,35967452
q19.sql,06953b06,5,title|movie_companies|complete_cast|company_type|comp_cast_type|movie_info,6,348467536,100.07,1,ok,,5,41706712
q20.sql,caeb7e4f,2,aka_name|person_info|name,3,130750117,235.0,1,ok,,2,22092652
q21.sql,2ce9b5e3,6,name|cast_info|title|movie_companies|complete_cast|comp_cast_type|aka_name,7,325877709,514.01,1,ok,,6,1927080
q22.sql,f56de7a6,2,title|role_type|cast_info,3,247805832,147.01,1,ok,,2,37145980
q23.sql,05e4f927,5,title|info_type|cast_info|movie_info_idx|person_info|movie_info,6,629652427,36767.99,,timeout,INTERRUPT Error: Interrupted!,5,38906232
q24.sql,dd9a2502,5,title|info_type|aka_title|complete_cast|comp_cast_type|movie_info,6,333016915,69.14,1,ok,,5,42833358
q25.sql,04f2e57c,7,title|info_type|cast_info|person_info|name|char_name|aka_name|movie_info,8,706674054,4.43,1,ok,,7,62126010
q26.sql,d0faccba,4,title|keyword|movie_info_idx|complete_cast|movie_keyword,5,56565518,76.08,1,ok,,4,33626452
q27.sql,6b38707d,4,title|info_type|movie_info_idx|complete_cast|movie_info,5,338635107,86.78,1,ok,,4,50881512
q28.sql,803ec7f8,2,char_name|role_type|cast_info,3,248869478,1389.7,1,ok,,2,8000
q29.sql,ab377712,7,title|info_type|cast_info|person_info|name|char_name|aka_name|movie_info,8,706674054,4.37,1,ok,,7,62126010
q30.sql,2f6e11d2,2,name|cast_info|aka_name,3,274124581,190.52,1,ok,,2,2856847
q31.sql,6f782ca2,2,title|movie_link|movie_info,3,327174132,18.35,1,ok,,2,39656232
q32.sql,caeb7e4f,2,aka_name|person_info|name,3,130750117,212.55,1,ok,,2,22092652
q33.sql,1cdbe490,3,title|info_type|person_info|movie_info,4,401146083,1.22,1,ok,,3,40106232
q34.sql,b59321b9,5,name|cast_info|person_info|info_type|movie_info_idx|aka_name,6,359256800,2.41,1,ok,,5,1506260
q35.sql,6ca61507,2,title|keyword|movie_keyword,3,44984894,45.9,1,ok,,2,13874800
