query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
q01.sql,1c267055,2,"4,6",1,119.934,94.42,1,ok,,1,4.049
q02.sql,3aaa8941,12,"1,2,4,5,6,8,9,10,11,16,18,19",11,723.136,6074.53,1,ok,,11,1.493
q03.sql,df177135,3,"2,8,13",2,327.594,51.96,1,ok,,2,39.356
q04.sql,370060c3,3,"1,2,8",2,544.52,721.16,1,ok,,2,40.506
q05.sql,7c28ed87,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,16,18,19,20,21",17,760.472,33698.88,,timeout,INTERRUPT Error: Interrupted!,17,11.589
q06.sql,ae2eba1d,5,"2,8,11,16,19",4,332.477,108.43,1,ok,,4,41.706
q07.sql,ff6b0c30,5,"2,8,11,13,19",4,333.017,177.99,1,ok,,4,50.89
q08.sql,e8680143,6,"2,4,6,9,10,16",5,438.505,1.47,1,ok,,5,38.907
q09.sql,3ff0e3f8,1,2,0,296.714,54.28,1,ok,,0,37.445
q10.sql,50ca0c1a,3,"2,3,8",2,340.626,124.03,1,ok,,2,13.875
q11.sql,d6db2364,3,"2,8,9",2,338.094,219.46,1,ok,,2,40.506
q12.sql,52e9b572,3,"1,5,8",2,279.209,842.91,1,ok,,2,11.982
q13.sql,e492e11b,6,"2,8,9,15,16,17",5,338.215,28.33,1,ok,,5,51.21
q14.sql,3b553020,6,"1,4,8,10,11,19",5,309.886,188.44,1,ok,,5,1.919
q15.sql,070816e4,4,"4,6,9,16",3,130.975,1.49,1,ok,,3,23.993
q16.sql,12733516,4,"1,4,6,10",3,348.216,226.64,1,ok,,3,22.401
q17.sql,19174eef,8,"2,7,8,9,12,13,16,20",7,361.858,115.18,1,ok,,7,62.126
q18.sql,5e298f89,7,"2,3,7,8,12,13,20",6,364.389,441.2,1,ok,,6,35.967
q19.sql,06953b06,6,"2,7,8,13,20,21",5,348.468,100.07,1,ok,,5,41.707
q20.sql,caeb7e4f,3,"4,6,10",2,130.75,235.0,1,ok,,2,22.093
q21.sql,2ce9b5e3,7,"1,4,7,8,10,13,20",6,325.878,514.01,1,ok,,6,1.927
q22.sql,f56de7a6,3,"1,8,18",2,247.806,147.01,1,ok,,2,37.146
q23.sql,05e4f927,6,"1,2,6,8,9,16",5,629.652,36767.99,,timeout,INTERRUPT Error: Interrupted!,5,38.906
q24.sql,dd9a2502,6,"2,8,11,13,16,20",5,333.017,69.14,1,ok,,5,42.833
q25.sql,04f2e57c,8,"1,2,4,5,6,8,10,16",7,706.674,4.43,1,ok,,7,62.126
q26.sql,d0faccba,5,"3,8,9,13,14",4,56.566,76.08,1,ok,,4,33.626
q27.sql,6b38707d,5,"2,8,9,13,16",4,338.635,86.78,1,ok,,4,50.882
q28.sql,803ec7f8,3,"1,5,18",2,248.869,1389.7,1,ok,,2,0.008
q29.sql,ab377712,8,"1,2,4,5,6,8,10,16",7,706.674,4.37,1,ok,,7,62.126
q30.sql,2f6e11d2,3,"1,4,10",2,274.125,190.52,1,ok,,2,2.857
q31.sql,6f782ca2,3,"2,8,15",2,327.174,18.35,1,ok,,2,39.656
q32.sql,caeb7e4f,3,"4,6,10",2,130.75,212.55,1,ok,,2,22.093
q33.sql,1cdbe490,4,"2,6,8,16",3,401.146,1.22,1,ok,,3,40.106
q34.sql,b59321b9,6,"1,4,6,9,10,16",5,359.257,2.41,1,ok,,5,1.506
q35.sql,6ca61507,3,"3,8,14",2,44.985,45.9,1,ok,,2,13.875
q36.sql,d156f0de,4,"2,8,13,16",3,327.595,147.13,1,ok,,3,39.357
q37.sql,0cada3d4,4,"1,4,10,18",3,274.125,322.12,1,ok,,3,57.328
q38.sql,7d190a24,5,"7,8,12,19,21",4,53.563,78.67,1,ok,,4,3.077
q39.sql,617fb161,9,"1,2,4,6,8,10,13,16,20",8,675.811,731.57,1,ok,,8,1.951
