query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
q01.sql,1c267055,2,"4,6",1,4.049,0.1,ok
q02.sql,3aaa8941,12,"1,2,4,5,6,8,9,10,11,16,18,19",11,1.493,0.1,ok
q03.sql,df177135,3,"2,8,13",2,39.356,0.1,ok
q04.sql,370060c3,3,"1,2,8",2,40.506,0.1,ok
q05.sql,7c28ed87,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,16,18,19,20,21",17,11.589,0.1,timeout
q06.sql,ae2eba1d,5,"2,8,11,16,19",4,41.706,0.1,ok
q07.sql,ff6b0c30,5,"2,8,11,13,19",4,50.89,0.1,ok
q08.sql,e8680143,6,"2,4,6,9,10,16",5,38.907,0.1,ok
q09.sql,3ff0e3f8,1,2,0,37.445,0.1,ok
q10.sql,50ca0c1a,3,"2,3,8",2,13.875,0.1,ok
q11.sql,d6db2364,3,"2,8,9",2,40.506,0.1,ok
q12.sql,52e9b572,3,"1,5,8",2,11.982,0.1,ok
q13.sql,e492e11b,6,"2,8,9,15,16,17",5,51.21,0.1,ok
q14.sql,3b553020,6,"1,4,8,10,11,19",5,1.919,0.1,ok
q15.sql,070816e4,4,"4,6,9,16",3,23.993,0.1,ok
q16.sql,12733516,4,"1,4,6,10",3,22.401,0.1,ok
q17.sql,19174eef,8,"2,7,8,9,12,13,16,20",7,62.126,0.1,ok
q18.sql,5e298f89,7,"2,3,7,8,12,13,20",6,35.967,0.1,ok
q19.sql,06953b06,6,"2,7,8,13,20,21",5,41.707,0.1,ok
q20.sql,caeb7e4f,3,"4,6,10",2,22.093,0.1,ok
q21.sql,2ce9b5e3,7,"1,4,7,8,10,13,20",6,1.927,0.1,ok
q22.sql,f56de7a6,3,"1,8,18",2,37.146,0.1,ok
q23.sql,05e4f927,6,"1,2,6,8,9,16",5,38.906,0.1,timeout
q24.sql,dd9a2502,6,"2,8,11,13,16,20",5,42.833,0.1,ok
q25.sql,04f2e57c,8,"1,2,4,5,6,8,10,16",7,62.126,0.1,ok
q26.sql,d0faccba,5,"3,8,9,13,14",4,33.626,0.1,ok
q27.sql,6b38707d,5,"2,8,9,13,16",4,50.882,0.1,ok
q28.sql,803ec7f8,3,"1,5,18",2,0.008,0.1,ok
q29.sql,ab377712,8,"1,2,4,5,6,8,10,16",7,62.126,0.1,ok
q30.sql,2f6e11d2,3,"1,4,10",2,2.857,0.1,ok
q31.sql,6f782ca2,3,"2,8,15",2,39.656,0.1,ok
q32.sql,caeb7e4f,3,"4,6,10",2,22.093,0.1,ok
q33.sql,1cdbe490,4,"2,6,8,16",3,40.106,0.1,ok
q34.sql,b59321b9,6,"1,4,6,9,10,16",5,1.506,0.1,ok
q35.sql,6ca61507,3,"3,8,14",2,13.875,0.1,ok
q36.sql,d156f0de,4,"2,8,13,16",3,39.357,0.1,ok
