query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
q01.sql,17c7780e,2,"6,10",1,4.049,5.3,1,ok,,1,4.049
q02.sql,ea99996f,12,"1,2,4,5,7,8,10,13,14,15,16,20",11,107.919,33378.19,,timeout,INTERRUPT Error: Interrupted!,11,1.493
q03.sql,11b28e7a,3,"2,9,13",2,38.414,52.48,1,ok,,2,39.356
q04.sql,8ae00bbe,3,"2,4,10",2,59.088,5.86,1,ok,,2,40.506
q05.sql,163a2cb2,18,"1,2,3,4,5,6,8,9,10,13,14,15,16,17,19,20,22,23",17,121.256,34116.86,,timeout,INTERRUPT Error: Interrupted!,17,11.589
q06.sql,172f1606,5,"2,5,8,13,16",4,49.576,131.91,1,ok,,4,41.706
q07.sql,11fe8e14,5,"2,3,8,11,13",4,51.666,100.62,1,ok,,4,50.89
q08.sql,80927354,6,"2,4,6,10,12,22",5,62.426,15.28,1,ok,,5,38.907
q09.sql,cc0cb2d4,1,2,0,37.445,26.91,1,ok,,0,37.445
q10.sql,845b4122,3,"3,5,8",2,23.196,31.49,1,ok,,2,13.875
q11.sql,5a60fbba,3,"2,9,13",2,38.414,38.32,1,ok,,2,40.506
q12.sql,ce9d3a7f,3,"1,5,13",2,45.756,371.39,1,ok,,2,11.982
q13.sql,db04b40f,6,"1,2,6,10,22,23",5,76.729,33206.75,,timeout,INTERRUPT Error: Interrupted!,5,51.21
q14.sql,23e1d52d,6,"2,3,4,6,10,13",5,73.65,49.58,1,ok,,5,1.919
q15.sql,44f2d9e0,4,"3,4,8,11",3,33.952,79.45,1,ok,,3,23.993
q16.sql,2c5aa22b,4,"4,5,10,12",3,32.464,224.57,1,ok,,3,22.401
q17.sql,1c8a211a,8,"2,6,7,8,10,13,14,22",7,44.982,31624.81,,timeout,INTERRUPT Error: Interrupted!,7,62.126
q18.sql,defb54fd,7,"3,4,5,6,8,10,12",6,48.176,56.35,1,ok,,6,35.967
q19.sql,a3d8e6f6,6,"1,2,4,10,13,23",5,94.773,57.37,1,ok,,5,41.707
q20.sql,cc3f4f85,3,"2,4,10",2,59.088,5.55,1,ok,,2,22.093
q21.sql,ce93c951,7,"2,4,6,7,10,12,14",6,63.863,112.52,1,ok,,6,1.927
q22.sql,cdba91ca,3,"1,11,13",2,36.331,360.27,1,ok,,2,37.146
