query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
q01.sql,17c7780e,2,"6,10",1,4.049,0.1,ok
q02.sql,ea99996f,12,"1,2,4,5,7,8,10,13,14,15,16,20",11,1.493,0.1,timeout
q03.sql,11b28e7a,3,"2,9,13",2,39.356,0.1,ok
q04.sql,8ae00bbe,3,"2,4,10",2,40.506,0.1,ok
q05.sql,163a2cb2,18,"1,2,3,4,5,6,8,9,10,13,14,15,16,17,19,20,22,23",17,11.589,0.1,timeout
q06.sql,172f1606,5,"2,5,8,13,16",4,41.706,0.1,ok
q07.sql,11fe8e14,5,"2,3,8,11,13",4,50.89,0.1,ok
q08.sql,80927354,6,"2,4,6,10,12,22",5,38.907,0.1,ok
q09.sql,cc0cb2d4,1,2,0,37.445,0.1,ok
q10.sql,845b4122,3,"3,5,8",2,13.875,0.1,ok
q11.sql,5a60fbba,3,"2,9,13",2,40.506,0.1,ok
q12.sql,ce9d3a7f,3,"1,5,13",2,11.982,0.1,ok
q13.sql,db04b40f,6,"1,2,6,10,22,23",5,51.21,0.1,timeout
q14.sql,23e1d52d,6,"2,3,4,6,10,13",5,1.919,0.1,ok
q15.sql,44f2d9e0,4,"3,4,8,11",3,23.993,0.1,ok
q16.sql,2c5aa22b,4,"4,5,10,12",3,22.401,0.1,ok
q17.sql,1c8a211a,8,"2,6,7,8,10,13,14,22",7,62.126,0.1,timeout
q18.sql,defb54fd,7,"3,4,5,6,8,10,12",6,35.967,0.1,ok
q19.sql,a3d8e6f6,6,"1,2,4,10,13,23",5,41.707,0.1,ok
q20.sql,cc3f4f85,3,"2,4,10",2,22.093,0.1,ok
q21.sql,ce93c951,7,"2,4,6,7,10,12,14",6,1.927,0.1,ok
q22.sql,cdba91ca,3,"1,11,13",2,37.146,0.1,ok
q23.sql,45c7a232,6,"2,5,7,8,10,12",5,38.906,0.1,ok
q24.sql,e844929d,6,"2,6,8,10,12,22",5,42.833,0.1,ok
q25.sql,25fac2f9,8,"2,4,6,8,10,13,15,22",7,62.126,0.1,ok
q26.sql,91b9408e,5,"3,5,8,13,17",4,33.626,0.1,ok
q27.sql,ce035858,5,"2,6,7,10,22",4,50.882,0.1,timeout
q28.sql,16100450,3,"1,10,23",2,0.008,0.1,ok
q29.sql,a78bb701,8,"1,2,4,5,6,10,13,22",7,62.126,0.1,timeout
q30.sql,58ce0a4c,3,"10,11,13",2,2.857,0.1,ok
q31.sql,e4ddaae4,3,"2,4,12",2,39.656,0.1,ok
q32.sql,f8cda48e,3,"4,10,11",2,22.093,0.1,ok
q33.sql,6ac1ca21,4,"2,3,5,15",3,40.106,0.1,ok
q34.sql,e2f81b08,6,"6,8,10,11,15,22",5,1.506,0.1,ok
q35.sql,6e8376a3,3,"3,8,12",2,13.875,0.1,ok
q36.sql,7200a60e,4,"2,5,10,15",3,39.357,0.1,ok
q37.sql,44080c12,4,"1,4,10,13",3,57.328,0.1,ok
q38.sql,e6c234c3,5,"4,7,8,10,11",4,3.077,0.1,ok
q39.sql,460f4306,9,"1,2,4,7,10,12,13,16,23",8,1.951,0.1,ok
q40.sql,ea81f21e,2,"4,13",1,21.478,0.1,ok
q41.sql,62bb89e8,1,13,0,0.45,0.1,ok
q42.sql,237bd10a,3,"2,4,13",2,39.356,0.1,ok
q43.sql,abf05d6d,3,"2,9,15",2,38.907,0.1,ok
q44.sql,e5146960,2,"1,10",1,0.008,0.1,ok
q45.sql,5dee8bee,5,"2,5,8,12,13",4,14.332,0.1,ok
q46.sql,4a798f77,9,"2,4,7,8,10,12,13,15,20",8,2.264,0.1,ok
q47.sql,a2a4df6b,4,"2,6,13,22",3,39.357,0.1,ok
q48.sql,b663ddbe,5,"2,3,4,10,12",4,51.182,0.1,ok
q49.sql,06581794,11,"2,3,5,6,8,10,11,12,13,17,19",10,4.562,0.1,ok
q50.sql,8280b1f6,5,"2,6,7,10,22",4,41.494,0.1,ok
q51.sql,e256bfbd,3,"5,10,19",2,11.54,0.1,ok
q52.sql,59a94aa8,3,"2,3,8",2,39.356,0.1,ok
q53.sql,2701bb11,6,"2,6,10,11,13,22",5,38.923,0.1,ok
q54.sql,11fa2e8f,8,"1,2,4,8,10,12,13,15",7,3.543,0.1,ok
q55.sql,cf861823,3,"2,4,10",2,39.356,0.1,ok
