query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
q01.sql,False,0.333,date_dim|store_returns,item|store_returns,date_dim,item,2,2,1,ok
q02.sql,False,0.062,cs_ext_sales_price|date_dim|sum|ws_ext_sales_price|wswscs,catalog_returns|customer|customer_address|customer_demographics|date_dim|item|store|store_returns|store_sales|web_page|web_returns|web_sales,cs_ext_sales_price|sum|ws_ext_sales_price|wswscs,catalog_returns|customer|customer_address|customer_demographics|item|store|store_returns|store_sales|web_page|web_returns|web_sales,5,12,11,ok
q03.sql,False,0.5,date_dim|item|store_sales,date_dim|promotion|store_sales,item,promotion,3,3,2,ok
q04.sql,False,0.5,customer|date_dim|store_sales,customer|customer_address|store_sales,date_dim,customer_address,3,3,2,ok
q05.sql,False,0.077,cast|date_dim|sr_net_loss|sr_return_amt|sr_returned_date_sk|ss_ext_sales_price|ss_net_profit|ss_sold_date_sk|store|web_sales,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|date_dim|household_demographics|income_band|inventory|item|promotion|store_returns|store_sales|web_page|web_returns|web_sales|web_site,cast|sr_net_loss|sr_return_amt|sr_returned_date_sk|ss_ext_sales_price|ss_net_profit|ss_sold_date_sk|store,catalog_page|catalog_returns|catalog_sales|customer|customer_address|customer_demographics|household_demographics|income_band|inventory|item|promotion|store_returns|store_sales|web_page|web_returns|web_site,10,18,17,ok
q06.sql,False,0.111,customer|customer_address|date_dim|item|store_sales,catalog_sales|customer_address|household_demographics|web_page|web_sales,customer|date_dim|item|store_sales,catalog_sales|household_demographics|web_page|web_sales,5,5,4,ok
q07.sql,False,0.111,customer_demographics|date_dim|item|promotion|store_sales,catalog_sales|customer_address|store|store_sales|time_dim,customer_demographics|date_dim|item|promotion,catalog_sales|customer_address|store|time_dim,5,5,4,ok
q08.sql,False,0.125,date_dim|store|store_sales,customer_address|promotion|store_sales|time_dim|web_sales|web_site,date_dim|store,customer_address|promotion|time_dim|web_sales|web_site,3,6,5,ok
q09.sql,True,1.0,store_sales,store_sales,,,1,1,0,ok
q10.sql,False,0.2,customer|customer_address|customer_demographics,catalog_sales|customer|web_sales,customer_address|customer_demographics,catalog_sales|web_sales,3,3,2,ok
q11.sql,False,0.2,customer|date_dim|store_sales,customer|customer_address|customer_demographics,date_dim|store_sales,customer_address|customer_demographics,3,3,2,ok
