query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
q01.sql,f3bad070,1,,0,0,18.94,2004,ok,,1,4048606
q02.sql,29db53e8,11,,0,0,34603.52,,timeout,INTERRUPT Error: Interrupted!,11,1492980
q03.sql,e74877fc,2,,0,0,29.51,2112,ok,,2,39356232
q04.sql,bb9c16ed,2,,0,0,905.72,94799,ok,,2,40506232
q05.sql,ad65ca26,17,,0,0,36348.36,,timeout,INTERRUPT Error: Interrupted!,17,11588836
q06.sql,b3e4776f,4,,0,0,190.76,39662,ok,,4,41706232
q07.sql,14efe0da,4,,0,0,414.29,1824,ok,,4,50890032
q08.sql,44a1004c,5,,0,0,340.56,1729,ok,,5,38906712
q09.sql,9f4e37d3,0,,0,0,63.53,1824,ok,,0,37445252
q10.sql,16897afc,2,,0,0,143.37,57235,ok,,2,13874800
q11.sql,15a3d0f7,2,,0,0,151.72,86765,ok,,2,40506232
q12.sql,5d5f8678,2,,0,0,26.45,1824,ok,,2,11982356
q13.sql,b6549b32,5,,0,0,25438.86,1824,ok,,5,51210312
q14.sql,41cfa8c1,5,,0,0,11685.6,17957,ok,,5,1918980
q15.sql,c38abdc2,3,,0,0,4540.54,1825,ok,,3,23992652
q16.sql,171e7176,3,,0,0,380.33,1831,ok,,3,22400652
q17.sql,dc81484d,7,,0,0,18706.82,1728,ok,,7,62126010
q18.sql,521a5d76,6,,0,0,30019.19,,timeout,INTERRUPT Error: Interrupted!,6,35967452
q19.sql,bf659c70,5,,0,0,30005.27,,timeout,INTERRUPT Error: Interrupted!,5,41706712
q20.sql,df0916eb,2,,0,0,202.55,1831,ok,,2,22092652
q21.sql,aab312d5,6,,0,0,30033.14,,timeout,INTERRUPT Error: Interrupted!,6,1927080
q22.sql,72ef3e2a,2,,0,0,3298.09,250,ok,,2,37145980
q23.sql,ab386f48,5,,0,0,30016.05,,timeout,INTERRUPT Error: Interrupted!,5,38906232
q24.sql,36b905bd,5,,0,0,1521.05,1823,ok,,5,42833358
q25.sql,4439941f,7,,0,0,11738.18,1824,ok,,7,62126010
q26.sql,4b9370f4,4,,0,0,70.73,1428,ok,,4,33626452
q27.sql,736884de,4,,0,0,30017.35,,timeout,INTERRUPT Error: Interrupted!,4,50881512
q28.sql,e821bef7,0,,0,0,3.04,6,ok,,2,8000
q29.sql,b3df7e43,7,,0,0,18683.02,1824,ok,,7,62126010
q30.sql,eb8dde9b,2,,0,0,214.39,1955,ok,,2,2856847
q31.sql,46738203,2,,0,0,88.16,1823,ok,,2,39656232
q32.sql,b87178e9,2,,0,0,82.52,1831,ok,,2,22092652
q33.sql,91802a4a,3,,0,0,342.5,1824,ok,,3,40106232
q34.sql,4b08ceea,5,,0,0,36840.45,,timeout,INTERRUPT Error: Interrupted!,5,1506260
q35.sql,bd6a7a0b,2,,0,0,183.48,86962,ok,,2,13874800
q36.sql,f736b96e,3,,0,0,324.12,1824,ok,,3,39356712
q37.sql,7b9dd633,3,,0,0,146.11,16645,ok,,3,57327652
q38.sql,d604c289,4,,0,0,30346.8,,timeout,INTERRUPT Error: Interrupted!,4,3076980
q39.sql,fa39ca94,8,,0,0,236.38,6964,ok,,8,1951080
q40.sql,6ac46c13,1,,0,0,27.5,2054,ok,,1,21478275
q41.sql,82570e36,0,,0,0,27.8,17785,ok,,0,450000
q42.sql,5db483c9,2,,0,0,459.24,1976,ok,,2,39356232
q43.sql,c90c3014,2,,0,0,653.58,1777,ok,,2,38906712
q44.sql,120d75d9,0,,0,0,4.92,6,ok,,1,8000
q45.sql,e976c7a6,4,,0,0,117.13,1824,ok,,4,14332356
q46.sql,990cd12a,8,,0,0,37665.59,,timeout,INTERRUPT Error: Interrupted!,8,2264260
q47.sql,c7752788,3,,0,0,7976.95,17783,ok,,3,39356712
q48.sql,9f3b9f4a,4,,0,0,32746.38,,timeout,INTERRUPT Error: Interrupted!,4,51181512
q49.sql,23f590d2,10,,0,0,36961.7,,timeout,INTERRUPT Error: Interrupted!,10,4562096
q50.sql,b9bc3f7f,4,,0,0,164.03,1824,ok,,4,41494338
q51.sql,92586bd1,2,,0,0,541.09,1824,ok,,2,11540356
q52.sql,c2b466ab,2,,0,0,18.02,1719,ok,,2,39356232
q53.sql,83f5cf4a,5,,0,0,30019.81,,timeout,INTERRUPT Error: Interrupted!,5,38922712
q54.sql,774a9730,7,,0,0,40283.82,,timeout,INTERRUPT Error: Interrupted!,7,3542980
q55.sql,420b81e5,2,,0,0,6119.75,1819,ok,,2,39356232
q56.sql,e7173224,3,,0,0,30014.76,,timeout,INTERRUPT Error: Interrupted!,3,40106232
q57.sql,2e3c58a5,3,,0,0,1515.82,16639,ok,,3,22100652
q58.sql,56980901,2,,0,0,2992.4,1792,ok,,2,39356232
q59.sql,00f48128,1,,0,0,120.37,1824,ok,,1,38906232
q60.sql,095085a9,3,,0,0,105.83,1824,ok,,3,40106232
q61.sql,8dc1d743,6,,0,0,722.03,6,ok,,6,4270460
q62.sql,b2961c9c,7,,0,0,36255.93,,timeout,INTERRUPT Error: Interrupted!,7,11533416
q63.sql,fdd394bb,5,,0,0,513.89,1730,ok,,5,38922712
q64.sql,777f1397,1,,0,0,56.61,1800,ok,,1,21478275
q65.sql,54ab59b9,6,,0,0,30011.79,,timeout,INTERRUPT Error: Interrupted!,6,1935460
q66.sql,847a4295,20,,0,0,36563.12,,timeout,INTERRUPT Error: Interrupted!,36,2043640
q67.sql,56f03954,0,,0,0,4.08,6,ok,,9,72000
q68.sql,f2b081c3,9,,0,0,37331.63,,timeout,INTERRUPT Error: Interrupted!,9,2264260
q69.sql,48266d38,2,,0,0,151.36,75452,ok,,2,13874800
q70.sql,b9ef7b77,2,,0,0,105.78,1823,ok,,2,38906712
q71.sql,e88c05f5,5,,0,0,4148.74,17785,ok,,5,1934980
q72.sql,9d9fd39b,10,,0,0,37021.38,,timeout,INTERRUPT Error: Interrupted!,10,70186955
q73.sql,e7eda5db,5,,0,0,34838.9,,timeout,INTERRUPT Error: Interrupted!,5,1506260
q74.sql,8ffb1e87,2,,0,0,89.38,93080,ok,,2,40506232
q75.sql,a404d406,17,,0,0,32869.32,,timeout,INTERRUPT Error: Interrupted!,17,6489076
q76.sql,9fa5402c,7,,0,0,30149.47,,timeout,INTERRUPT Error: Interrupted!,7,1942980
q77.sql,e28eef96,4,,0,0,4785.42,1824,ok,,4,38922712
q78.sql,f5f87718,8,,0,0,36702.98,,timeout,INTERRUPT Error: Interrupted!,8,16078452
q79.sql,b15c0c11,7,,0,0,6205.36,6,ok,,7,1506260
q80.sql,b0cc7f1b,3,,0,0,16648.65,259,ok,,3,41975348
q81.sql,028a6e5c,2,,0,0,13.92,2054,ok,,2,3507583
q82.sql,5ee7ffd8,3,,0,0,14254.49,17954,ok,,3,74591232
q83.sql,38180f7e,2,,0,0,94.58,1998,ok,,2,4498606
q84.sql,0c61870c,5,,0,0,37937.03,,timeout,INTERRUPT Error: Interrupted!,5,16491286
q85.sql,0ed8efc2,7,,0,0,2834.38,1824,ok,,7,24454203
q86.sql,1c70c3f4,2,,0,0,25.18,1823,ok,,2,11982356
q87.sql,258e48a8,4,,0,0,38309.28,,timeout,INTERRUPT Error: Interrupted!,4,3076980
q88.sql,4a788c9c,3,,0,0,7920.38,7200,ok,,3,547680
q89.sql,1d036bdc,13,,0,0,30372.98,,timeout,INTERRUPT Error: Interrupted!,13,38962712
q90.sql,10f77634,3,,0,0,133.48,6836,ok,,3,548100
q91.sql,281ada36,0,,0,0,2.7,6,ok,,6,16669183
q92.sql,c488e911,2,,0,0,27.41,1824,ok,,2,11982356
q93.sql,63c54b11,4,,0,0,80.7,1975,ok,,4,2611626
q94.sql,08f7e40e,3,,0,0,205.61,1824,ok,,3,12283256
q95.sql,8eae7194,1,,0,0,20.09,1824,ok,,1,10071376
q96.sql,455becca,3,,0,0,243.88,1824,ok,,3,37992932
q97.sql,d573dee8,2,,0,0,92.91,1824,ok,,2,38914232
q98.sql,4ec36656,2,,0,0,70.83,1823,ok,,2,39356232
q99.sql,27c15696,7,,0,0,624.29,1796,ok,,7,21650812
