query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
q01.sql,True,1.0,date_dim|store_returns,date_dim|store_returns,,,2,2,1,ok
q02.sql,False,0.062,cs_ext_sales_price|date_dim|sum|ws_ext_sales_price|wswscs,catalog_page|catalog_returns|catalog_sales|customer|date_dim|household_demographics|income_band|inventory|item|promotion|store_sales|web_sales,cs_ext_sales_price|sum|ws_ext_sales_price|wswscs,catalog_page|catalog_returns|catalog_sales|customer|household_demographics|income_band|inventory|item|promotion|store_sales|web_sales,5,12,11,timeout
q03.sql,False,0.5,date_dim|item|store_sales,item|store_sales|time_dim,date_dim,time_dim,3,3,2,ok
q04.sql,False,0.5,customer|date_dim|store_sales,catalog_sales|date_dim|store_sales,customer,catalog_sales,3,3,2,ok
q05.sql,False,0.12,cast|date_dim|sr_net_loss|sr_return_amt|sr_returned_date_sk|ss_ext_sales_price|ss_net_profit|ss_sold_date_sk|store|web_sales,catalog_page|catalog_sales|customer|customer_demographics|date_dim|household_demographics|income_band|inventory|item|promotion|store|store_returns|store_sales|time_dim|warehouse|web_page|web_sales|web_site,cast|sr_net_loss|sr_return_amt|sr_returned_date_sk|ss_ext_sales_price|ss_net_profit|ss_sold_date_sk,catalog_page|catalog_sales|customer|customer_demographics|household_demographics|income_band|inventory|item|promotion|store_returns|store_sales|time_dim|warehouse|web_page|web_site,10,18,17,timeout
q06.sql,False,0.429,customer|customer_address|date_dim|item|store_sales,customer|item|promotion|store_sales|web_sales,customer_address|date_dim,promotion|web_sales,5,5,4,ok
q07.sql,False,0.429,customer_demographics|date_dim|item|promotion|store_sales,customer|customer_demographics|item|store_sales|web_returns,date_dim|promotion,customer|web_returns,5,5,4,ok
q08.sql,False,0.5,date_dim|store|store_sales,catalog_sales|customer_address|date_dim|store|store_returns|store_sales,,catalog_sales|customer_address|store_returns,3,6,5,ok
q09.sql,True,1.0,store_sales,store_sales,,,1,1,0,ok
q10.sql,False,0.5,customer|customer_address|customer_demographics,customer|customer_demographics|web_sales,customer_address,web_sales,3,3,2,ok
q11.sql,False,0.2,customer|date_dim|store_sales,item|store_sales|time_dim,customer|date_dim,item|time_dim,3,3,2,ok
q12.sql,False,0.5,date_dim|item|web_sales,inventory|item|web_sales,date_dim,inventory,3,3,2,ok
q13.sql,False,0.333,customer_address|customer_demographics|date_dim|household_demographics|store|store_sales,date_dim|inventory|store|store_returns|store_sales|warehouse,customer_address|customer_demographics|household_demographics,inventory|store_returns|warehouse,6,6,5,timeout
q14.sql,False,0.286,date_dim|iss|item,catalog_sales|customer_demographics|date_dim|item|store_returns|store_sales,iss,catalog_sales|customer_demographics|store_returns|store_sales,3,6,5,ok
q15.sql,False,0.333,catalog_sales|customer|customer_address|date_dim,catalog_sales|customer|customer_demographics|web_returns,customer_address|date_dim,customer_demographics|web_returns,4,4,3,ok
q16.sql,False,0.6,call_center|catalog_sales|customer_address|date_dim,catalog_sales|customer_address|date_dim|web_sales,call_center,web_sales,4,4,3,ok
q17.sql,False,0.556,catalog_sales|date_dim|item|store|store_returns|store_sales,catalog_page|catalog_returns|customer|date_dim|item|store|store_returns|store_sales,catalog_sales,catalog_page|catalog_returns|customer,6,8,7,timeout
q18.sql,False,0.625,catalog_sales|customer|customer_address|customer_demographics|date_dim|item,catalog_sales|customer|customer_address|customer_demographics|date_dim|store_returns|web_sales,item,store_returns|web_sales,6,7,6,ok
