query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
q01.sql,ea6be2bc,1,lineitem|supplier,2,108171870,49.59,1,ok,,1,4048606
q02.sql,1fb57a90,7,nation|customer|supplier|orders|lineitem|partsupp|part|region,8,139572015,30054.17,,timeout,INTERRUPT Error: Interrupted!,11,1492980
q03.sql,5876790b,2,customer|nation|orders,3,19200125,23.63,1,ok,,2,39356232
q04.sql,d2d7ddb8,2,lineitem|supplier|orders,3,124671870,81.52,1,ok,,2,40506232
q05.sql,462bc7f6,7,orders|nation|lineitem|supplier|region|part|partsupp|customer,8,139572015,19906.78,1,ok,,17,11588836
q06.sql,664c589f,4,customer|nation|supplier|region|orders,5,19350145,27.59,1,ok,,4,41706232
q07.sql,dbda2d90,4,lineitem|customer|part|supplier|orders,5,129971870,92.3,1,ok,,4,50890032
q08.sql,6503bd86,5,lineitem|part|supplier|partsupp|nation|orders,6,136871995,108.1,1,ok,,5,38906712
q09.sql,7f9e374e,0,orders,1,16500000,5.91,1,ok,,0,37445252
q10.sql,eed94862,2,part|lineitem|partsupp,3,120221870,1.02,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",2,13874800
q11.sql,10488b15,2,lineitem|customer|orders,3,127221870,106.9,1,ok,,2,40506232
q12.sql,d228b938,2,orders|lineitem|customer,3,127221870,61.84,1,ok,,2,11982356
q13.sql,27578a41,5,customer|nation|supplier|region|partsupp|orders,6,28950145,426.17,1,ok,,5,51210312
q14.sql,7fdab70a,5,nation|customer|supplier|orders|lineitem|region,6,127372015,30012.21,,timeout,INTERRUPT Error: Interrupted!,5,1918980
q15.sql,22c7b74a,3,lineitem|orders|customer|part,4,129821870,113.15,1,ok,,3,23992652
q16.sql,d1a927a8,3,partsupp|supplier|nation|part,4,12350125,18.03,1,ok,,3,22400652
q17.sql,1bb39a17,7,lineitem|customer|part|supplier|nation|partsupp|region|orders,8,139572015,136.5,1,ok,,7,62126010
q18.sql,78d700ec,6,part|supplier|lineitem|nation|orders|customer|partsupp,7,139571995,1.2,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",6,35967452
q19.sql,c0b29748,5,lineitem|customer|supplier|nation|region|orders,6,127372015,96.17,1,ok,,5,41706712
q20.sql,f76a3422,2,lineitem|orders|part,3,127121870,78.94,1,ok,,2,22092652
q21.sql,fb2f9a2a,6,nation|customer|supplier|orders|lineitem|part|region,7,129972015,30016.9,,timeout,INTERRUPT Error: Interrupted!,6,1927080
q22.sql,049fac92,2,orders|customer|lineitem,3,127221870,83.37,1,ok,,2,37145980
q23.sql,a024bc28,5,lineitem|part|supplier|partsupp|nation|orders,6,136871995,101.22,1,ok,,5,38906232
q24.sql,ef6f7dab,5,lineitem|customer|part|supplier|nation|orders,6,129971995,105.26,1,ok,,5,42833358
q25.sql,283712c1,7,lineitem|customer|part|supplier|nation|partsupp|region|orders,8,139572015,126.31,1,ok,,7,62126010
q26.sql,11342f0a,4,part|supplier|lineitem|orders|partsupp,5,136871870,1.07,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",4,33626452
q27.sql,6e7368c9,4,lineitem|customer|nation|region|orders,5,127222015,57.75,1,ok,,4,50881512
q28.sql,78f5a773,2,orders|customer|lineitem,3,127221870,71.25,1,ok,,2,8000
q29.sql,508c3c47,7,lineitem|customer|part|supplier|nation|partsupp|region|orders,8,139572015,159.65,1,ok,,7,62126010
q30.sql,af99c767,2,nation|supplier|region,3,150145,2.54,1,ok,,2,2856847
q31.sql,21f1721c,2,lineitem|part|orders,3,127121870,79.07,1,ok,,2,39656232
q32.sql,276247f8,2,partsupp|supplier|part,3,12350000,12.77,1,ok,,2,22092652
q33.sql,9ea85241,3,lineitem|customer|part|orders,4,129821870,68.27,1,ok,,3,40106232
q34.sql,df981b5f,5,nation|customer|orders|lineitem|part|region,6,129822015,1.26,1,ok,,5,1506260
q35.sql,0f9b6bb8,2,supplier|nation|partsupp,3,9750125,1.04,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",2,13874800
q36.sql,8b13e3ba,3,lineitem|part|partsupp|orders,4,136721870,120.21,1,ok,,3,39356712
q37.sql,b2e9bf02,3,part|supplier|partsupp|lineitem,4,120371870,65.94,1,ok,,3,57327652
q38.sql,fae0f953,4,nation|supplier|partsupp|part|region,5,12350145,1.12,1,ok,,4,3076980
q39.sql,3fabd22c,7,nation|customer|supplier|orders|lineitem|partsupp|part|region,8,139572015,1.28,1,ok,,8,1951080
q40.sql,1a5b1fb7,1,partsupp|part,2,12200000,19.01,1,ok,,1,21478275
q41.sql,1a0bcc40,0,region,1,20,1.11,1,ok,,0,450000
q42.sql,4814b4f8,2,customer|nation|orders,3,19200125,15.17,1,ok,,2,39356232
q43.sql,3e35a762,2,lineitem|supplier|orders,3,124671870,76.36,1,ok,,2,38906712
q44.sql,4f0e9f89,1,part|lineitem,2,110621870,42.8,1,ok,,1,8000
q45.sql,5616cd25,4,orders|nation|lineitem|supplier|customer,5,127371995,69.15,1,ok,,4,14332356
q46.sql,ae096376,7,nation|customer|supplier|orders|lineitem|partsupp|part|region,8,139572015,30037.16,,timeout,INTERRUPT Error: Interrupted!,8,2264260
q47.sql,8c2eaef8,3,customer|nation|region|orders,4,19200145,28.72,1,ok,,3,39356712
q48.sql,aee010ea,4,lineitem|customer|nation|region|orders,5,127222015,75.86,1,ok,,4,51181512
q49.sql,a59d9c58,7,lineitem|partsupp|nation|orders|part|customer|region|supplier,8,139572015,30041.78,,timeout,INTERRUPT Error: Interrupted!,10,4562096
q50.sql,ba226cd6,4,lineitem|customer|nation|region|orders,5,127222015,92.97,1,ok,,4,41494338
q51.sql,3b69da5e,2,orders|lineitem|customer,3,127221870,60.57,1,ok,,2,11540356
q52.sql,115e0236,2,customer|nation|orders,3,19200125,20.69,1,ok,,2,39356232
q53.sql,6986198a,5,lineitem|supplier|partsupp|nation|region|orders,6,134272015,150.62,1,ok,,5,38922712
q54.sql,4469341f,7,nation|customer|supplier|orders|lineitem|partsupp|part|region,8,139572015,30030.01,,timeout,INTERRUPT Error: Interrupted!,7,3542980
q55.sql,d9f547e1,2,lineitem|supplier|orders,3,124671870,72.23,1,ok,,2,39356232
q56.sql,ed9c7713,3,lineitem|customer|nation|orders,4,127221995,85.73,1,ok,,3,40106232
q57.sql,9cad653a,3,lineitem|partsupp|supplier|part,4,120371870,74.44,1,ok,,3,22100652
q58.sql,62d1ac1e,2,customer|nation|orders,3,19200125,21.08,1,ok,,2,39356232
q59.sql,8cf8dbf0,1,customer|orders,2,19200000,21.74,1,ok,,1,38906232
q60.sql,0fdd3dc9,3,customer|nation|region|orders,4,19200145,21.11,1,ok,,3,40106232
q61.sql,c76e1999,6,nation|supplier|lineitem|partsupp|orders|part|region,7,136872015,1.44,1,ok,,6,4270460
q62.sql,acf0da5e,7,orders|nation|lineitem|supplier|region|part|partsupp|customer,8,139572015,30010.11,,timeout,INTERRUPT Error: Interrupted!,7,11533416
q63.sql,f1c44a37,5,lineitem|customer|supplier|nation|region|orders,6,127372015,87.12,1,ok,,5,38922712
q64.sql,e0f1009d,1,lineitem|part,2,110621870,52.89,1,ok,,1,21478275
q65.sql,d8275c4d,6,nation|customer|supplier|orders|lineitem|part|region,7,129972015,1.24,1,ok,,6,1935460
