query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
q01.sql,ea6be2bc,2,"1,6",1,108.172,49.59,1,ok,,1,4.049
q02.sql,1fb57a90,8,"1,2,3,4,5,6,7,8",7,139.572,30054.17,,timeout,INTERRUPT Error: Interrupted!,11,1.493
q03.sql,5876790b,3,"2,5,7",2,19.2,23.63,1,ok,,2,39.356
q04.sql,d2d7ddb8,3,"1,2,6",2,124.672,81.52,1,ok,,2,40.506
q05.sql,462bc7f6,8,"1,2,3,4,5,6,7,8",7,139.572,19906.78,1,ok,,17,11.589
q06.sql,664c589f,5,"2,5,6,7,8",4,19.35,27.59,1,ok,,4,41.706
q07.sql,dbda2d90,5,"1,2,4,5,6",4,129.972,92.3,1,ok,,4,50.89
q08.sql,6503bd86,6,"1,2,3,4,6,7",5,136.872,108.1,1,ok,,5,38.907
q09.sql,7f9e374e,1,2,0,16.5,5.91,1,ok,,0,37.445
q10.sql,eed94862,3,"1,3,4",2,120.222,1.02,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",2,13.875
q11.sql,10488b15,3,"1,2,5",2,127.222,106.9,1,ok,,2,40.506
q12.sql,d228b938,3,"1,2,5",2,127.222,61.84,1,ok,,2,11.982
q13.sql,27578a41,6,"2,3,5,6,7,8",5,28.95,426.17,1,ok,,5,51.21
q14.sql,7fdab70a,6,"1,2,5,6,7,8",5,127.372,30012.21,,timeout,INTERRUPT Error: Interrupted!,5,1.919
q15.sql,22c7b74a,4,"1,2,4,5",3,129.822,113.15,1,ok,,3,23.993
q16.sql,d1a927a8,4,"3,4,6,7",3,12.35,18.03,1,ok,,3,22.401
q17.sql,1bb39a17,8,"1,2,3,4,5,6,7,8",7,139.572,136.5,1,ok,,7,62.126
q18.sql,78d700ec,7,"1,2,3,4,5,6,7",6,139.572,1.2,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",6,35.967
q19.sql,c0b29748,6,"1,2,5,6,7,8",5,127.372,96.17,1,ok,,5,41.707
q20.sql,f76a3422,3,"1,2,4",2,127.122,78.94,1,ok,,2,22.093
q21.sql,fb2f9a2a,7,"1,2,4,5,6,7,8",6,129.972,30016.9,,timeout,INTERRUPT Error: Interrupted!,6,1.927
q22.sql,049fac92,3,"1,2,5",2,127.222,83.37,1,ok,,2,37.146
q23.sql,a024bc28,6,"1,2,3,4,6,7",5,136.872,101.22,1,ok,,5,38.906
q24.sql,ef6f7dab,6,"1,2,4,5,6,7",5,129.972,105.26,1,ok,,5,42.833
q25.sql,283712c1,8,"1,2,3,4,5,6,7,8",7,139.572,126.31,1,ok,,7,62.126
q26.sql,11342f0a,5,"1,2,3,4,6",4,136.872,1.07,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",4,33.626
q27.sql,6e7368c9,5,"1,2,5,7,8",4,127.222,57.75,1,ok,,4,50.882
q28.sql,78f5a773,3,"1,2,5",2,127.222,71.25,1,ok,,2,0.008
q29.sql,508c3c47,8,"1,2,3,4,5,6,7,8",7,139.572,159.65,1,ok,,7,62.126
q30.sql,af99c767,3,"6,7,8",2,0.15,2.54,1,ok,,2,2.857
q31.sql,21f1721c,3,"1,2,4",2,127.122,79.07,1,ok,,2,39.656
q32.sql,276247f8,3,"3,4,6",2,12.35,12.77,1,ok,,2,22.093
q33.sql,9ea85241,4,"1,2,4,5",3,129.822,68.27,1,ok,,3,40.106
q34.sql,df981b5f,6,"1,2,4,5,7,8",5,129.822,1.26,1,ok,,5,1.506
q35.sql,0f9b6bb8,3,"3,6,7",2,9.75,1.04,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",2,13.875
q36.sql,8b13e3ba,4,"1,2,3,4",3,136.722,120.21,1,ok,,3,39.357
q37.sql,b2e9bf02,4,"1,3,4,6",3,120.372,65.94,1,ok,,3,57.328
q38.sql,fae0f953,5,"3,4,6,7,8",4,12.35,1.12,1,ok,,4,3.077
q39.sql,3fabd22c,8,"1,2,3,4,5,6,7,8",7,139.572,1.28,1,ok,,8,1.951
q40.sql,1a5b1fb7,2,"3,4",1,12.2,19.01,1,ok,,1,21.478
q41.sql,1a0bcc40,1,8,0,0.0,1.11,1,ok,,0,0.45
q42.sql,4814b4f8,3,"2,5,7",2,19.2,15.17,1,ok,,2,39.356
q43.sql,3e35a762,3,"1,2,6",2,124.672,76.36,1,ok,,2,38.907
q44.sql,4f0e9f89,2,"1,4",1,110.622,42.8,1,ok,,1,0.008
q45.sql,5616cd25,5,"1,2,5,6,7",4,127.372,69.15,1,ok,,4,14.332
q46.sql,ae096376,8,"1,2,3,4,5,6,7,8",7,139.572,30037.16,,timeout,INTERRUPT Error: Interrupted!,8,2.264
q47.sql,8c2eaef8,4,"2,5,7,8",3,19.2,28.72,1,ok,,3,39.357
q48.sql,aee010ea,5,"1,2,5,7,8",4,127.222,75.86,1,ok,,4,51.182
q49.sql,a59d9c58,8,"1,2,3,4,5,6,7,8",7,139.572,30041.78,,timeout,INTERRUPT Error: Interrupted!,10,4.562
q50.sql,ba226cd6,5,"1,2,5,7,8",4,127.222,92.97,1,ok,,4,41.494
q51.sql,3b69da5e,3,"1,2,5",2,127.222,60.57,1,ok,,2,11.54
q52.sql,115e0236,3,"2,5,7",2,19.2,20.69,1,ok,,2,39.356
q53.sql,6986198a,6,"1,2,3,6,7,8",5,134.272,150.62,1,ok,,5,38.923
q54.sql,4469341f,8,"1,2,3,4,5,6,7,8",7,139.572,30030.01,,timeout,INTERRUPT Error: Interrupted!,7,3.543
q55.sql,d9f547e1,3,"1,2,6",2,124.672,72.23,1,ok,,2,39.356
q56.sql,ed9c7713,4,"1,2,5,7",3,127.222,85.73,1,ok,,3,40.106
q57.sql,9cad653a,4,"1,3,4,6",3,120.372,74.44,1,ok,,3,22.101
q58.sql,62d1ac1e,3,"2,5,7",2,19.2,21.08,1,ok,,2,39.356
q59.sql,8cf8dbf0,2,"2,5",1,19.2,21.74,1,ok,,1,38.906
q60.sql,0fdd3dc9,4,"2,5,7,8",3,19.2,21.11,1,ok,,3,40.106
q61.sql,c76e1999,7,"1,2,3,4,6,7,8",6,136.872,1.44,1,ok,,6,4.27
q62.sql,acf0da5e,8,"1,2,3,4,5,6,7,8",7,139.572,30010.11,,timeout,INTERRUPT Error: Interrupted!,7,11.533
q63.sql,f1c44a37,6,"1,2,5,6,7,8",5,127.372,87.12,1,ok,,5,38.923
q64.sql,e0f1009d,2,"1,4",1,110.622,52.89,1,ok,,1,21.478
q65.sql,d8275c4d,7,"1,2,4,5,6,7,8",6,129.972,1.24,1,ok,,6,1.935
q66.sql,5011b194,8,"1,2,3,4,5,6,7,8",7,139.572,30026.12,,timeout,INTERRUPT Error: Interrupted!,36,2.044
q67.sql,4e041628,8,"1,2,3,4,5,6,7,8",7,139.572,111.65,1,ok,,9,0.072
q68.sql,883e04d7,8,"1,2,3,4,5,6,7,8",7,139.572,30026.48,,timeout,INTERRUPT Error: Interrupted!,9,2.264
q69.sql,a592805f,3,"1,3,6",2,117.772,0.95,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",2,13.875
q70.sql,3d8e8fc4,3,"1,2,4",2,127.122,73.06,1,ok,,2,38.907
q71.sql,c4eff5ed,6,"2,3,5,6,7,8",5,28.95,1.25,1,ok,,5,1.935
q72.sql,180b149c,8,"1,2,3,4,5,6,7,8",7,139.572,113.01,1,ok,,10,70.187
q73.sql,de68a7ce,6,"3,4,5,6,7,8",5,15.05,2059.34,1,ok,,5,1.506
q74.sql,39f5deb8,3,"2,5,7",2,19.2,14.16,1,ok,,2,40.506
q75.sql,13bdbc67,8,"1,2,3,4,5,6,7,8",7,139.572,30085.46,,timeout,INTERRUPT Error: Interrupted!,17,6.489
q76.sql,ef822f05,8,"1,2,3,4,5,6,7,8",7,139.572,30031.08,,timeout,INTERRUPT Error: Interrupted!,7,1.943
q77.sql,49483ed0,5,"2,5,6,7,8",4,19.35,18.43,1,ok,,4,38.923
q78.sql,cd63f139,8,"1,2,3,4,5,6,7,8",7,139.572,2280.28,1,ok,,8,16.078
q79.sql,a56e13f3,8,"1,2,3,4,5,6,7,8",7,139.572,1.4,1,ok,,7,1.506
q80.sql,cd20cd0d,4,"1,2,6,7",3,124.672,83.83,1,ok,,3,41.975
q81.sql,82c91199,3,"5,7,8",2,2.7,1.05,1,ok,,2,3.508
q82.sql,8cd089e6,4,"1,2,5,7",3,127.222,75.92,1,ok,,3,74.591
q83.sql,46dd196f,3,"1,4,6",2,110.772,60.4,1,ok,,2,4.499
q84.sql,8b2d8f24,6,"1,2,3,5,6,7",5,136.972,1.14,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",5,16.491
q85.sql,2358542e,8,"1,2,3,4,5,6,7,8",7,139.572,1.24,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",7,24.454
q86.sql,549732a5,3,"5,7,8",2,2.7,1.08,1,ok,,2,11.982
q87.sql,ab96975a,5,"3,4,6,7,8",4,12.35,15.24,1,ok,,4,3.077
