query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
q01.sql,False,0.0,date_dim|store_returns,lineitem|supplier,date_dim|store_returns,lineitem|supplier,2,2,1,ok
q02.sql,False,0.0,cs_ext_sales_price|date_dim|sum|ws_ext_sales_price|wswscs,customer|lineitem|nation|orders|part|partsupp|region|supplier,cs_ext_sales_price|date_dim|sum|ws_ext_sales_price|wswscs,customer|lineitem|nation|orders|part|partsupp|region|supplier,5,8,11,timeout
q03.sql,False,0.0,date_dim|item|store_sales,customer|nation|orders,date_dim|item|store_sales,customer|nation|orders,3,3,2,ok
q04.sql,False,0.0,customer|date_dim|store_sales,lineitem|orders|supplier,customer|date_dim|store_sales,lineitem|orders|supplier,3,3,2,ok
q05.sql,False,0.0,cast|date_dim|sr_net_loss|sr_return_amt|sr_returned_date_sk|ss_ext_sales_price|ss_net_profit|ss_sold_date_sk|store|web_sales,customer|lineitem|nation|orders|part|partsupp|region|supplier,cast|date_dim|sr_net_loss|sr_return_amt|sr_returned_date_sk|ss_ext_sales_price|ss_net_profit|ss_sold_date_sk|store|web_sales,customer|lineitem|nation|orders|part|partsupp|region|supplier,10,8,17,ok
q06.sql,False,0.111,customer|customer_address|date_dim|item|store_sales,customer|nation|orders|region|supplier,customer_address|date_dim|item|store_sales,nation|orders|region|supplier,5,5,4,ok
q07.sql,False,0.0,customer_demographics|date_dim|item|promotion|store_sales,customer|lineitem|orders|part|supplier,customer_demographics|date_dim|item|promotion|store_sales,customer|lineitem|orders|part|supplier,5,5,4,ok
q08.sql,False,0.0,date_dim|store|store_sales,lineitem|nation|orders|part|partsupp|supplier,date_dim|store|store_sales,lineitem|nation|orders|part|partsupp|supplier,3,6,5,ok
q09.sql,False,0.0,store_sales,orders,store_sales,orders,1,1,0,ok
q10.sql,False,0.0,customer|customer_address|customer_demographics,lineitem|part|partsupp,customer|customer_address|customer_demographics,lineitem|part|partsupp,3,3,2,error
q11.sql,False,0.2,customer|date_dim|store_sales,customer|lineitem|orders,date_dim|store_sales,lineitem|orders,3,3,2,ok
q12.sql,False,0.0,date_dim|item|web_sales,customer|lineitem|orders,date_dim|item|web_sales,customer|lineitem|orders,3,3,2,ok
q13.sql,False,0.0,customer_address|customer_demographics|date_dim|household_demographics|store|store_sales,customer|nation|orders|partsupp|region|supplier,customer_address|customer_demographics|date_dim|household_demographics|store|store_sales,customer|nation|orders|partsupp|region|supplier,6,6,5,ok
q14.sql,False,0.0,date_dim|iss|item,customer|lineitem|nation|orders|region|supplier,date_dim|iss|item,customer|lineitem|nation|orders|region|supplier,3,6,5,timeout
q15.sql,False,0.143,catalog_sales|customer|customer_address|date_dim,customer|lineitem|orders|part,catalog_sales|customer_address|date_dim,lineitem|orders|part,4,4,3,ok
q16.sql,False,0.0,call_center|catalog_sales|customer_address|date_dim,nation|part|partsupp|supplier,call_center|catalog_sales|customer_address|date_dim,nation|part|partsupp|supplier,4,4,3,ok
q17.sql,False,0.0,catalog_sales|date_dim|item|store|store_returns|store_sales,customer|lineitem|nation|orders|part|partsupp|region|supplier,catalog_sales|date_dim|item|store|store_returns|store_sales,customer|lineitem|nation|orders|part|partsupp|region|supplier,6,8,7,ok
q18.sql,False,0.083,catalog_sales|customer|customer_address|customer_demographics|date_dim|item,customer|lineitem|nation|orders|part|partsupp|supplier,catalog_sales|customer_address|customer_demographics|date_dim|item,lineitem|nation|orders|part|partsupp|supplier,6,7,6,error
q19.sql,False,0.091,customer|customer_address|date_dim|item|store|store_sales,customer|lineitem|nation|orders|region|supplier,customer_address|date_dim|item|store|store_sales,lineitem|nation|orders|region|supplier,6,6,5,ok
q20.sql,False,0.0,catalog_sales|date_dim|item,lineitem|orders|part,catalog_sales|date_dim|item,lineitem|orders|part,3,3,2,ok
q21.sql,False,0.0,date_dim|i_item_id|item|sum|warehouse,customer|lineitem|nation|orders|part|region|supplier,date_dim|i_item_id|item|sum|warehouse,customer|lineitem|nation|orders|part|region|supplier,5,7,6,timeout
q22.sql,False,0.0,date_dim|inventory|item,customer|lineitem|orders,date_dim|inventory|item,customer|lineitem|orders,3,3,2,ok
q23.sql,False,0.0,date_dim|store_sales,lineitem|nation|orders|part|partsupp|supplier,date_dim|store_sales,lineitem|nation|orders|part|partsupp|supplier,2,6,5,ok
q24.sql,False,0.091,customer|customer_address|item|store|store_returns|store_sales,customer|lineitem|nation|orders|part|supplier,customer_address|item|store|store_returns|store_sales,lineitem|nation|orders|part|supplier,6,6,5,ok
q25.sql,False,0.0,catalog_sales|date_dim|item|store|store_returns|store_sales,customer|lineitem|nation|orders|part|partsupp|region|supplier,catalog_sales|date_dim|item|store|store_returns|store_sales,customer|lineitem|nation|orders|part|partsupp|region|supplier,6,8,7,ok
q26.sql,False,0.0,catalog_sales|customer_demographics|date_dim|item|promotion,lineitem|orders|part|partsupp|supplier,catalog_sales|customer_demographics|date_dim|item|promotion,lineitem|orders|part|partsupp|supplier,5,5,4,error
q27.sql,False,0.0,customer_demographics|date_dim|item|store|store_sales,customer|lineitem|nation|orders|region,customer_demographics|date_dim|item|store|store_sales,customer|lineitem|nation|orders|region,5,5,4,ok
q28.sql,False,0.0,count,customer|lineitem|orders,count,customer|lineitem|orders,1,3,2,ok
q29.sql,False,0.0,catalog_sales|date_dim|item|store|store_returns|store_sales,customer|lineitem|nation|orders|part|partsupp|region|supplier,catalog_sales|date_dim|item|store|store_returns|store_sales,customer|lineitem|nation|orders|part|partsupp|region|supplier,6,8,7,ok
q30.sql,False,0.0,customer_address|date_dim|web_returns,nation|region|supplier,customer_address|date_dim|web_returns,nation|region|supplier,3,3,2,ok
q31.sql,False,0.0,customer_address|date_dim|store_sales,lineitem|orders|part,customer_address|date_dim|store_sales,lineitem|orders|part,3,3,2,ok
q32.sql,False,0.0,catalog_sales|date_dim|item,part|partsupp|supplier,catalog_sales|date_dim|item,part|partsupp|supplier,3,3,2,ok
q33.sql,False,0.0,customer_address|date_dim|item|store_sales,customer|lineitem|orders|part,customer_address|date_dim|item|store_sales,customer|lineitem|orders|part,4,4,3,ok
q34.sql,False,0.0,count|date_dim|household_demographics|ss_customer_sk|store,customer|lineitem|nation|orders|part|region,count|date_dim|household_demographics|ss_customer_sk|store,customer|lineitem|nation|orders|part|region,5,6,5,ok
q35.sql,False,0.0,customer|customer_address|customer_demographics,nation|partsupp|supplier,customer|customer_address|customer_demographics,nation|partsupp|supplier,3,3,2,error
q36.sql,False,0.0,date_dim|item|store|store_sales,lineitem|orders|part|partsupp,date_dim|item|store|store_sales,lineitem|orders|part|partsupp,4,4,3,ok
q37.sql,False,0.0,catalog_sales|date_dim|inventory|item,lineitem|part|partsupp|supplier,catalog_sales|date_dim|inventory|item,lineitem|part|partsupp|supplier,4,4,3,ok
q38.sql,False,0.0,c_first_name|customer|d_date|date_dim,nation|part|partsupp|region|supplier,c_first_name|customer|d_date|date_dim,nation|part|partsupp|region|supplier,4,5,4,ok
q39.sql,False,0.0,avg|d_moy|date_dim|i_item_sk|item|stddev_samp|w_warehouse_sk|warehouse,customer|lineitem|nation|orders|part|partsupp|region|supplier,avg|d_moy|date_dim|i_item_sk|item|stddev_samp|w_warehouse_sk|warehouse,customer|lineitem|nation|orders|part|partsupp|region|supplier,8,8,8,ok
q40.sql,False,0.0,catalog_returns|catalog_sales,part|partsupp,catalog_returns|catalog_sales,part|partsupp,2,2,1,ok
q41.sql,False,0.0,item,region,item,region,1,1,0,ok
q42.sql,False,0.0,date_dim|item|store_sales,customer|nation|orders,date_dim|item|store_sales,customer|nation|orders,3,3,2,ok
q43.sql,False,0.0,date_dim|store|store_sales,lineitem|orders|supplier,date_dim|store|store_sales,lineitem|orders|supplier,3,3,2,ok
