query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
q01.sql,f3f01e13,0,lineitem,1,1079748936,348.19,4,ok,
q02.sql,9e88fd7a,4,part|supplier|partsupp|nation|region,5,123500145,410.93,100,ok,
q03.sql,58418cad,2,customer|orders|lineitem,3,1271748936,333.61,10,ok,
q04.sql,c41a79e5,0,orders,1,165000000,421.04,5,ok,
q05.sql,2c12a72b,5,customer|orders|lineitem|supplier|nation|region,6,1273249081,271.1,5,ok,
q06.sql,ad35c4ba,0,lineitem,1,1079748936,48.58,1,ok,
q07.sql,d13e5b40,8,n2|extract|l_extendedprice|lineitem|orders|customer|nation,7,1271773061,218.04,4,ok,
q08.sql,b6122e51,9,l_extendedprice|n2|supplier|lineitem|orders|customer|nation|region,8,1273265081,254.29,2,ok,
q09.sql,9b529b72,7,extract|l_extendedprice|supplier|lineitem|partsupp|orders|nation,7,1342265061,776.77,175,ok,
q10.sql,30373738,3,customer|orders|lineitem|nation,4,1271749061,1115.39,20,ok,
q11.sql,fce474ea,2,partsupp|supplier|nation,3,97500125,113.0,0,ok,
q12.sql,8ddcfa23,1,orders|lineitem,2,1244748936,135.41,2,ok,
q13.sql,9d24e612,2,orders|count,2,165008000,710.93,45,ok,
q14.sql,eb4142cd,1,lineitem|part,2,1105748936,167.48,1,ok,
q15.sql,3e264395,0,lineitem,1,1079748936,121.97,1,ok,
q16.sql,5e361766,1,partsupp|part,2,122000000,311.38,27840,ok,
q17.sql,e376472d,1,lineitem|part,2,1105748936,271.09,1,ok,
q18.sql,1313ec47,2,customer|orders|lineitem,3,1271748936,728.2,100,ok,
q19.sql,5a964e1b,1,lineitem|part,2,1105748936,253.85,1,ok,
q20.sql,4348b024,1,supplier|nation,2,1500125,305.71,1804,ok,
q21.sql,fd07e4ca,3,supplier|lineitem|orders|nation,4,1246249061,906.07,100,ok,
q22.sql,00d11101,1,c_acctbal,1,8000,171.11,7,ok,
