query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
q01.sql,953f7304,1,1,0,217.466,35.81,1,ok,,0,108.022
q02.sql,d16933d2,5,"3,7,8,11,12",4,72.557,489.59,1,ok,,4,12.35
q03.sql,803ec7f8,3,"1,5,18",2,248.869,1368.55,1,ok,,2,127.222
q04.sql,a6b14e23,1,2,0,296.714,33.92,1,ok,,0,16.5
q05.sql,cccfe483,6,"1,7,8,12,18,21",5,271.029,150.32,1,ok,,5,127.372
q06.sql,a4ab30fd,1,1,0,217.466,39.74,1,ok,,0,108.022
q07.sql,e9e3de20,9,"1,2,4,5,6,8,9,16,18",8,706.898,743.42,1,ok,,8,127.246
q08.sql,0c64cc1e,10,"1,2,4,5,6,7,8,9,16,18",9,727.771,381.42,1,ok,,9,127.388
q09.sql,dd54202a,8,"1,2,4,5,6,10,16,18",7,676.334,1.34,1,ok,,7,134.288
q10.sql,3aface97,4,"1,3,5,8",3,292.781,215.52,1,ok,,3,127.222
q11.sql,61f26f7d,3,"3,8,14",2,44.985,48.8,1,ok,,2,9.75
q12.sql,c6a5ce73,2,"1,4",1,263.308,535.84,1,ok,,1,124.522
q13.sql,81df81a3,3,"2,8,9",2,338.094,98.27,1,ok,,2,16.508
q14.sql,271726b2,2,"1,4",1,263.308,309.82,1,ok,,1,110.622
q15.sql,049571b4,1,1,0,217.466,20.89,1,ok,,0,108.022
q16.sql,d965eae2,2,"3,8",1,43.912,81.02,1,ok,,1,12.2
q17.sql,c6a5ce73,2,"1,4",1,263.308,525.0,1,ok,,1,110.622
q18.sql,30966be4,3,"1,4,5",2,294.712,518.3,1,ok,,2,127.222
q19.sql,1d99f641,2,"1,8",1,247.806,120.26,1,ok,,1,110.622
q20.sql,641aca5e,2,"4,6",1,119.934,76.71,1,ok,,1,0.15
q21.sql,92cf4a74,4,"1,2,8,16",3,544.521,595.14,1,ok,,3,124.672
q22.sql,2afd8e52,2,"1,8",1,247.806,649.13,1,ok,,1,0.008
