query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
q01.sql,953f7304,1,1,0,108.022,0.1,ok
q02.sql,d16933d2,5,"3,7,8,11,12",4,12.35,0.1,ok
q03.sql,803ec7f8,3,"1,5,18",2,127.222,0.1,ok
q04.sql,a6b14e23,1,2,0,16.5,0.1,ok
q05.sql,cccfe483,6,"1,7,8,12,18,21",5,127.372,0.1,ok
q06.sql,a4ab30fd,1,1,0,108.022,0.1,ok
q07.sql,e9e3de20,9,"1,2,4,5,6,8,9,16,18",8,127.246,0.1,ok
q08.sql,0c64cc1e,10,"1,2,4,5,6,7,8,9,16,18",9,127.388,0.1,ok
q09.sql,dd54202a,8,"1,2,4,5,6,10,16,18",7,134.288,0.1,ok
q10.sql,3aface97,4,"1,3,5,8",3,127.222,0.1,ok
q11.sql,61f26f7d,3,"3,8,14",2,9.75,0.1,ok
q12.sql,c6a5ce73,2,"1,4",1,124.522,0.1,ok
q13.sql,81df81a3,3,"2,8,9",2,16.508,0.1,ok
q14.sql,271726b2,2,"1,4",1,110.622,0.1,ok
q15.sql,049571b4,1,1,0,108.022,0.1,ok
q16.sql,d965eae2,2,"3,8",1,12.2,0.1,ok
q17.sql,c6a5ce73,2,"1,4",1,110.622,0.1,ok
q18.sql,30966be4,3,"1,4,5",2,127.222,0.1,ok
q19.sql,1d99f641,2,"1,8",1,110.622,0.1,ok
q20.sql,641aca5e,2,"4,6",1,0.15,0.1,ok
q21.sql,92cf4a74,4,"1,2,8,16",3,124.672,0.1,ok
q22.sql,2afd8e52,2,"1,8",1,0.008,0.1,ok
