query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
q01.sql,f3f01e13,0,lineitem,1,108021870,216.21,4,ok,
q02.sql,9e88fd7a,4,part|supplier|partsupp|nation|region,5,12350145,49.62,100,ok,
q03.sql,58418cad,2,customer|orders|lineitem,3,127221870,125.61,10,ok,
q04.sql,c41a79e5,0,orders,1,16500000,122.71,5,ok,
q05.sql,2c12a72b,5,customer|orders|lineitem|supplier|nation|region,6,127372015,127.73,5,ok,
q06.sql,ad35c4ba,0,lineitem,1,108021870,33.6,1,ok,
q07.sql,d13e5b40,8,n2|extract|l_extendedprice|lineitem|orders|customer|nation,7,127245995,131.0,4,ok,
q08.sql,b6122e51,9,l_extendedprice|n2|supplier|lineitem|orders|customer|nation|region,8,127388015,94.65,2,ok,
q09.sql,9b529b72,7,extract|l_extendedprice|supplier|lineitem|partsupp|orders|nation,7,134287995,421.99,175,ok,
q10.sql,30373738,3,customer|orders|lineitem|nation,4,127221995,251.96,20,ok,
q11.sql,fce474ea,2,partsupp|supplier|nation,3,9750125,32.8,1048,ok,
q12.sql,8ddcfa23,1,orders|lineitem,2,124521870,86.62,2,ok,
q13.sql,9d24e612,2,orders|count,2,16508000,428.55,42,ok,
q14.sql,eb4142cd,1,lineitem|part,2,110621870,58.37,1,ok,
q15.sql,3e264395,0,lineitem,1,108021870,64.36,1,ok,
q16.sql,5e361766,1,partsupp|part,2,12200000,129.54,18314,ok,
q17.sql,e376472d,1,lineitem|part,2,110621870,59.25,1,ok,
q18.sql,1313ec47,2,customer|orders|lineitem,3,127221870,351.97,57,ok,
q19.sql,5a964e1b,1,lineitem|part,2,110621870,172.43,1,ok,
q20.sql,4348b024,1,supplier|nation,2,150125,103.79,186,ok,
q21.sql,fd07e4ca,3,supplier|lineitem|orders|nation,4,124671995,319.77,100,ok,
q22.sql,00d11101,1,c_acctbal,1,8000,89.56,7,ok,
