query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
q01.sql,1ece878a,0,inventory,1,35235000,3.5,1,ok,,0,108021870
q02.sql,bdd32580,4,catalog_sales|customer|catalog_page|catalog_returns|customer_demographics,5,34743691,44.21,1,ok,,4,12350145
q03.sql,f9fb29be,2,item|warehouse|inventory,3,35685100,47.82,1,ok,,2,127221870
q04.sql,f1b23be0,0,store_sales,1,37445252,19.03,1,ok,,0,16500000
q05.sql,2c578ec9,5,item|store_sales|store_returns|customer|store|inventory,6,77318358,30021.01,,timeout,INTERRUPT Error: Interrupted!,5,127372015
q06.sql,1ece878a,0,inventory,1,35235000,2.19,1,ok,,0,108021870
q07.sql,14c01f35,8,date_dim|item|store_sales|web_sales|store_returns|customer|customer_address|store|inventory,9,89600714,251.81,1,ok,,8,127245995
q08.sql,1675fc13,9,date_dim|item|warehouse|store_sales|web_sales|store_returns|catalog_returns|time_dim|customer|inventory,10,90665337,35350.1,,timeout,INTERRUPT Error: Interrupted!,9,127388015
q09.sql,e5b2147f,7,date_dim|item|web_sales|web_returns|catalog_returns|customer|customer_address|inventory,8,51509826,756.36,1,ok,,7,134287995
q10.sql,9e689fc3,3,date_dim|store_sales|time_dim|inventory,4,74659632,10.4,1,ok,,3,127221995
q11.sql,4d994fa0,2,store_sales|household_demographics|customer_demographics,3,48998852,80.98,1,ok,,2,9750125
q12.sql,877408f2,1,warehouse|inventory,2,35235100,2.91,1,ok,,1,124521870
q13.sql,7cb33abc,2,customer_address|store|store_sales,3,38195732,56.85,1,ok,,2,16508000
q14.sql,15e784dd,1,item|inventory,2,35685000,77.47,1,ok,,1,110621870
q15.sql,1ece878a,0,inventory,1,35235000,1.86,1,ok,,0,108021870
q16.sql,2e592c55,1,store_sales|customer_demographics,2,48970052,79.78,1,ok,,1,12200000
q17.sql,fa031669,1,date_dim|inventory,2,36695980,2.7,1,ok,,1,110621870
q18.sql,67439ba3,2,date_dim|web_sales|inventory,3,46767356,4.16,1,ok,,2,127221870
q19.sql,d3ed8ee1,1,item|inventory,2,35685000,77.11,1,ok,,1,110621870
q20.sql,70e41be2,1,store|store_returns,2,2588106,8.01,1,ok,,1,150125
q21.sql,e9a6a716,3,date_dim|item|catalog_returns|inventory,4,38442583,4264.47,1,ok,,3,124671995
q22.sql,211ac18e,1,item|inventory,2,35685000,77.9,1,ok,,1,8000
