query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
q01.sql,1ece878a,1,1,0,35.235,3.5,1,ok,,0,108.022
q02.sql,bdd32580,5,"3,4,7,8,14",4,34.744,44.21,1,ok,,4,12.35
q03.sql,f9fb29be,3,"1,13,23",2,35.685,47.82,1,ok,,2,127.222
q04.sql,f1b23be0,1,2,0,37.445,19.03,1,ok,,0,16.5
q05.sql,2c578ec9,6,"1,2,6,8,13,22",5,77.318,30021.01,,timeout,INTERRUPT Error: Interrupted!,5,127.372
q06.sql,1ece878a,1,1,0,35.235,2.19,1,ok,,0,108.022
q07.sql,14c01f35,9,"1,2,5,6,8,10,12,13,22",8,89.601,251.81,1,ok,,8,127.246
q08.sql,1675fc13,10,"1,2,5,6,7,8,9,10,13,23",9,90.665,35350.1,,timeout,INTERRUPT Error: Interrupted!,9,127.388
q09.sql,e5b2147f,8,"1,5,7,8,10,11,12,13",7,51.51,756.36,1,ok,,7,134.288
q10.sql,9e689fc3,4,"1,2,9,10",3,74.66,10.4,1,ok,,3,127.222
q11.sql,4d994fa0,3,"2,3,15",2,48.999,80.98,1,ok,,2,9.75
q12.sql,877408f2,2,"1,23",1,35.235,2.91,1,ok,,1,124.522
q13.sql,7cb33abc,3,"2,12,22",2,38.196,56.85,1,ok,,2,16.508
q14.sql,15e784dd,2,"1,13",1,35.685,77.47,1,ok,,1,110.622
q15.sql,1ece878a,1,1,0,35.235,1.86,1,ok,,0,108.022
q16.sql,2e592c55,2,"2,3",1,48.97,79.78,1,ok,,1,12.2
q17.sql,fa031669,2,"1,10",1,36.696,2.7,1,ok,,1,110.622
q18.sql,67439ba3,3,"1,5,10",2,46.767,4.16,1,ok,,2,127.222
q19.sql,d3ed8ee1,2,"1,13",1,35.685,77.11,1,ok,,1,110.622
q20.sql,70e41be2,2,"6,22",1,2.588,8.01,1,ok,,1,0.15
q21.sql,e9a6a716,4,"1,7,10,13",3,38.443,4264.47,1,ok,,3,124.672
q22.sql,211ac18e,2,"1,13",1,35.685,77.9,1,ok,,1,0.008
