query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
q01.sql,1ece878a,1,1,0,108.022,0.1,ok
q02.sql,bdd32580,5,"3,4,7,8,14",4,12.35,0.1,ok
q03.sql,f9fb29be,3,"1,13,23",2,127.222,0.1,ok
q04.sql,f1b23be0,1,2,0,16.5,0.1,ok
q05.sql,2c578ec9,6,"1,2,6,8,13,22",5,127.372,0.1,ok
q06.sql,1ece878a,1,1,0,108.022,0.1,ok
q07.sql,14c01f35,9,"1,2,5,6,8,10,12,13,22",8,127.246,0.1,ok
q08.sql,1675fc13,10,"1,2,5,6,7,8,9,10,13,23",9,127.388,0.1,timeout
q09.sql,e5b2147f,8,"1,5,7,8,10,11,12,13",7,134.288,0.1,ok
q10.sql,9e689fc3,4,"1,2,9,10",3,127.222,0.1,ok
q11.sql,4d994fa0,3,"2,3,15",2,9.75,0.1,ok
q12.sql,877408f2,2,"1,23",1,124.522,0.1,ok
q13.sql,7cb33abc,3,"2,12,22",2,16.508,0.1,ok
q14.sql,15e784dd,2,"1,13",1,110.622,0.1,ok
q15.sql,1ece878a,1,1,0,108.022,0.1,ok
q16.sql,2e592c55,2,"2,3",1,12.2,0.1,ok
q17.sql,fa031669,2,"1,10",1,110.622,0.1,ok
q18.sql,67439ba3,3,"1,5,10",2,127.222,0.1,ok
q19.sql,d3ed8ee1,2,"1,13",1,110.622,0.1,ok
q20.sql,70e41be2,2,"6,22",1,0.15,0.1,ok
q21.sql,e9a6a716,4,"1,7,10,13",3,124.672,0.1,ok
q22.sql,211ac18e,2,"1,13",1,0.008,0.1,ok
