query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
q01.sql,False,0.0,lineitem,inventory,lineitem,inventory,1,1,0,ok
q02.sql,False,0.0,nation|part|partsupp|region|supplier,catalog_page|catalog_sales|customer|customer_address|item,nation|part|partsupp|region|supplier,catalog_page|catalog_sales|customer|customer_address|item,5,5,4,ok
q03.sql,False,0.0,customer|lineitem|orders,household_demographics|income_band|web_sales,customer|lineitem|orders,household_demographics|income_band|web_sales,3,3,2,ok
q04.sql,False,0.0,orders,store_sales,orders,store_sales,1,1,0,ok
q05.sql,False,0.0,customer|lineitem|nation|orders|region|supplier,catalog_sales|customer_demographics|date_dim|household_demographics|item|web_sales,customer|lineitem|nation|orders|region|supplier,catalog_sales|customer_demographics|date_dim|household_demographics|item|web_sales,6,6,5,ok
q06.sql,False,0.0,lineitem,inventory,lineitem,inventory,1,1,0,ok
q07.sql,False,0.0,customer|extract|l_extendedprice|lineitem|n2|nation|orders,date_dim|inventory|item|store_returns|store_sales|time_dim|warehouse|web_page|web_returns,customer|extract|l_extendedprice|lineitem|n2|nation|orders,date_dim|inventory|item|store_returns|store_sales|time_dim|warehouse|web_page|web_returns,7,9,8,ok
q08.sql,False,0.059,customer|l_extendedprice|lineitem|n2|nation|orders|region|supplier,catalog_page|catalog_sales|customer|date_dim|household_demographics|inventory|item|store_returns|store_sales|web_returns,l_extendedprice|lineitem|n2|nation|orders|region|supplier,catalog_page|catalog_sales|date_dim|household_demographics|inventory|item|store_returns|store_sales|web_returns,8,10,9,ok
q09.sql,False,0.0,extract|l_extendedprice|lineitem|nation|orders|partsupp|supplier,catalog_returns|catalog_sales|customer|customer_address|date_dim|item|store_returns|web_sales,extract|l_extendedprice|lineitem|nation|orders|partsupp|supplier,catalog_returns|catalog_sales|customer|customer_address|date_dim|item|store_returns|web_sales,7,8,7,ok
q10.sql,False,0.0,customer|lineitem|nation|orders,customer_demographics|household_demographics|web_page|web_sales,customer|lineitem|nation|orders,customer_demographics|household_demographics|web_page|web_sales,4,4,3,ok
q11.sql,False,0.0,nation|partsupp|supplier,customer_demographics|store_sales|web_sales,nation|partsupp|supplier,customer_demographics|store_sales|web_sales,3,3,2,ok
q12.sql,False,0.0,lineitem|orders,customer_address|store_sales,lineitem|orders,customer_address|store_sales,2,2,1,ok
q13.sql,False,0.0,count|orders,customer|customer_address|store_sales,count|orders,customer|customer_address|store_sales,2,3,2,ok
q14.sql,False,0.0,lineitem|part,inventory|item,lineitem|part,inventory|item,2,2,1,ok
q15.sql,False,0.0,lineitem,inventory,lineitem,inventory,1,1,0,ok
q16.sql,False,0.0,part|partsupp,catalog_sales|customer_demographics,part|partsupp,catalog_sales|customer_demographics,2,2,1,ok
q17.sql,False,0.0,lineitem|part,inventory|item,lineitem|part,inventory|item,2,2,1,ok
q18.sql,False,0.2,customer|lineitem|orders,customer|date_dim|web_sales,lineitem|orders,date_dim|web_sales,3,3,2,ok
q19.sql,False,0.0,lineitem|part,inventory|item,lineitem|part,inventory|item,2,2,1,ok
q20.sql,False,0.0,nation|supplier,customer|store_returns,nation|supplier,customer|store_returns,2,2,1,ok
q21.sql,False,0.0,lineitem|nation|orders|supplier,catalog_page|catalog_sales|date_dim|store_returns,lineitem|nation|orders|supplier,catalog_page|catalog_sales|date_dim|store_returns,4,4,3,ok
q22.sql,False,0.0,c_acctbal,call_center,c_acctbal,call_center,1,1,1,ok
