query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
q01.sql,bdc6a8cc,1,1,0,108.022,28.49,1,ok,,0,108.022
q02.sql,e63148b9,5,"1,2,3,4,6",4,136.872,1.36,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",4,12.35
q03.sql,17abe3ee,3,"1,2,5",2,127.222,86.67,1,ok,,2,127.222
q04.sql,dc86ea11,1,2,0,16.5,14.83,1,ok,,0,16.5
q05.sql,aceaf3c9,6,"1,2,3,5,6,7",5,136.972,255.66,1,ok,,5,127.372
q06.sql,70abb366,1,1,0,108.022,22.52,1,ok,,0,108.022
q07.sql,bf2f5195,8,"1,2,3,4,5,6,7,8",7,139.572,145.48,1,ok,,8,127.246
q08.sql,8a308cfb,8,"1,2,3,4,5,6,7,8",7,139.572,120.03,1,ok,,9,127.388
q09.sql,dfe5eb36,8,"1,2,3,4,5,6,7,8",7,139.572,173.24,1,ok,,7,134.288
q10.sql,b9b97cf5,4,"1,2,4,6",3,127.272,98.46,1,ok,,3,127.222
q11.sql,28293328,3,"1,3,6",2,117.772,0.92,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",2,9.75
q12.sql,4c134840,2,"1,2",1,124.522,113.64,1,ok,,1,124.522
q13.sql,33b3c1ae,3,"2,5,7",2,19.2,16.71,1,ok,,2,16.508
q14.sql,5e3e435b,2,"1,4",1,110.622,46.98,1,ok,,1,110.622
q15.sql,0242f360,1,1,0,108.022,22.51,1,ok,,0,108.022
q16.sql,8fa30bd7,2,"3,4",1,12.2,0.84,,error,"Binder Error: Table ""p0"" does not have a column named ""l_quantity""

Candidate bindings: : ""ps_availqty""

LINE 1: SELECT MIN(p0.l_quantity) AS result
                   ^",1,12.2
q17.sql,ee419295,2,"1,2",1,124.522,131.34,1,ok,,1,110.622
q18.sql,14a04e6d,3,"1,2,6",2,124.672,74.15,1,ok,,2,127.222
q19.sql,acb54fe1,2,"1,6",1,108.172,38.45,1,ok,,1,110.622
q20.sql,efd3e67c,2,"6,7",1,0.15,2.07,1,ok,,1,0.15
q21.sql,d8797246,4,"1,3,4,6",3,120.372,71.29,1,ok,,3,124.672
q22.sql,e36cd18e,2,"1,6",1,108.172,37.76,1,ok,,1,0.008
