query_id,query_hash,num_permanent_tables_accessed,target_table_ids,source_num_joins,source_mbytes_scanned,relative_selectivity,gen_status
q01.sql,bdc6a8cc,1,1,0,108.022,0.1,ok
q02.sql,e63148b9,5,"1,2,3,4,6",4,12.35,0.1,error
q03.sql,17abe3ee,3,"1,2,5",2,127.222,0.1,ok
q04.sql,dc86ea11,1,2,0,16.5,0.1,ok
q05.sql,aceaf3c9,6,"1,2,3,5,6,7",5,127.372,0.1,ok
q06.sql,70abb366,1,1,0,108.022,0.1,ok
q07.sql,bf2f5195,8,"1,2,3,4,5,6,7,8",8,127.246,0.1,ok
q08.sql,8a308cfb,8,"1,2,3,4,5,6,7,8",9,127.388,0.1,ok
q09.sql,dfe5eb36,8,"1,2,3,4,5,6,7,8",7,134.288,0.1,ok
q10.sql,b9b97cf5,4,"1,2,4,6",3,127.222,0.1,ok
q11.sql,28293328,3,"1,3,6",2,9.75,0.1,error
q12.sql,4c134840,2,"1,2",1,124.522,0.1,ok
q13.sql,33b3c1ae,3,"2,5,7",2,16.508,0.1,ok
q14.sql,5e3e435b,2,"1,4",1,110.622,0.1,ok
q15.sql,0242f360,1,1,0,108.022,0.1,ok
q16.sql,8fa30bd7,2,"3,4",1,12.2,0.1,error
q17.sql,ee419295,2,"1,2",1,110.622,0.1,ok
q18.sql,14a04e6d,3,"1,2,6",2,127.222,0.1,ok
q19.sql,acb54fe1,2,"1,6",1,110.622,0.1,ok
q20.sql,efd3e67c,2,"6,7",1,0.15,0.1,ok
q21.sql,d8797246,4,"1,3,4,6",3,124.672,0.1,ok
q22.sql,e36cd18e,2,"1,6",1,0.008,0.1,ok
