query_file,tables_match_exact,jaccard_similarity,W_tables,Wprime_tables,only_in_W,only_in_Wprime,W_n_tables,Wprime_n_tables,W_join_count,gen_status
q01.sql,True,1.0,lineitem,lineitem,,,1,1,0,ok
q02.sql,False,0.429,nation|part|partsupp|region|supplier,lineitem|orders|part|partsupp|supplier,nation|region,lineitem|orders,5,5,4,ok
q03.sql,False,0.5,customer|lineitem|orders,customer|nation|orders,lineitem,nation,3,3,2,ok
q04.sql,True,1.0,orders,orders,,,1,1,0,ok
q05.sql,False,0.5,customer|lineitem|nation|orders|region|supplier,customer|lineitem|orders|part|partsupp|supplier,nation|region,part|partsupp,6,6,5,ok
q06.sql,True,1.0,lineitem,lineitem,,,1,1,0,ok
q07.sql,False,0.364,customer|extract|l_extendedprice|lineitem|n2|nation|orders,customer|lineitem|nation|orders|part|partsupp|region|supplier,extract|l_extendedprice|n2,part|partsupp|region|supplier,7,8,8,ok
q08.sql,False,0.6,customer|l_extendedprice|lineitem|n2|nation|orders|region|supplier,customer|lineitem|nation|orders|part|partsupp|region|supplier,l_extendedprice|n2,part|partsupp,8,8,9,ok
q09.sql,False,0.5,extract|l_extendedprice|lineitem|nation|orders|partsupp|supplier,customer|lineitem|nation|orders|part|partsupp|region|supplier,extract|l_extendedprice,customer|part|region,7,8,7,ok
q10.sql,False,0.333,customer|lineitem|nation|orders,customer|nation|region|supplier,lineitem|orders,region|supplier,4,4,3,ok
q11.sql,False,0.2,nation|partsupp|supplier,lineitem|part|partsupp,nation|supplier,lineitem|part,3,3,2,ok
q12.sql,False,0.333,lineitem|orders,customer|orders,lineitem,customer,2,2,1,ok
q13.sql,False,0.25,count|orders,customer|lineitem|orders,count,customer|lineitem,2,3,2,ok
q14.sql,False,0.333,lineitem|part,lineitem|orders,part,orders,2,2,1,ok
q15.sql,True,1.0,lineitem,lineitem,,,1,1,0,ok
q16.sql,False,0.333,part|partsupp,partsupp|supplier,part,supplier,2,2,1,ok
q17.sql,False,0.333,lineitem|part,lineitem|orders,part,orders,2,2,1,ok
q18.sql,True,1.0,customer|lineitem|orders,customer|lineitem|orders,,,3,3,2,ok
q19.sql,False,0.333,lineitem|part,lineitem|orders,part,orders,2,2,1,ok
q20.sql,False,0.333,nation|supplier,lineitem|supplier,nation,lineitem,2,2,1,ok
q21.sql,False,0.333,lineitem|nation|orders|supplier,nation|partsupp|region|supplier,lineitem|orders,partsupp|region,4,4,3,ok
q22.sql,False,0.0,c_acctbal,customer|nation,c_acctbal,customer|nation,1,2,1,ok
