query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
q01.sql,f3f01e13,0,lineitem,1,108021870,91.78,4,ok,
q02.sql,9e88fd7a,4,part|supplier|partsupp|nation|region,5,12350145,71.67,100,ok,
q03.sql,58418cad,2,customer|orders|lineitem,3,127221870,109.29,10,ok,
q04.sql,c41a79e5,0,orders,1,16500000,83.42,5,ok,
q05.sql,2c12a72b,5,customer|orders|lineitem|supplier|nation|region,6,127372015,90.9,5,ok,
q06.sql,ad35c4ba,0,lineitem,1,108021870,22.73,1,ok,
q07.sql,d13e5b40,8,n2|extract|l_extendedprice|lineitem|orders|customer|nation,7,127245995,116.47,4,ok,
q08.sql,b6122e51,9,l_extendedprice|n2|supplier|lineitem|orders|customer|nation|region,8,127388015,94.51,2,ok,
q09.sql,9b529b72,7,extract|l_extendedprice|supplier|lineitem|partsupp|orders|nation,7,134287995,256.19,175,ok,
q10.sql,30373738,3,customer|orders|lineitem|nation,4,127221995,301.51,20,ok,
q11.sql,fce474ea,2,partsupp|supplier|nation,3,9750125,45.95,1048,ok,
q12.sql,8ddcfa23,1,orders|lineitem,2,124521870,71.44,2,ok,
q13.sql,9d24e612,2,orders|count,2,16508000,113.49,42,ok,
q14.sql,eb4142cd,1,lineitem|part,2,110621870,36.33,1,ok,
q15.sql,3e264395,0,lineitem,1,108021870,60.36,1,ok,
q16.sql,5e361766,1,partsupp|part,2,12200000,110.61,18314,ok,
q17.sql,e376472d,1,lineitem|part,2,110621870,148.5,1,ok,
q18.sql,1313ec47,2,customer|orders|lineitem,3,127221870,158.53,57,ok,
q19.sql,5a964e1b,1,lineitem|part,2,110621870,81.88,1,ok,
q20.sql,4348b024,1,supplier|nation,2,150125,113.16,186,ok,
q21.sql,fd07e4ca,3,supplier|lineitem|orders|nation,4,124671995,293.53,100,ok,
q22.sql,00d11101,1,c_acctbal,1,8000,56.75,7,ok,
