query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg
q01.sql,f3f01e13,1,1,0,108.022,216.21,4,ok,
q02.sql,9e88fd7a,5,"3,4,6,7,8",4,12.35,49.62,100,ok,
q03.sql,58418cad,3,"1,2,5",2,127.222,125.61,10,ok,
q04.sql,c41a79e5,1,2,0,16.5,122.71,5,ok,
q05.sql,2c12a72b,6,"1,2,5,6,7,8",5,127.372,127.73,5,ok,
q06.sql,ad35c4ba,1,1,0,108.022,33.6,1,ok,
q07.sql,d13e5b40,7,"0,1,2,5,7",8,127.246,131.0,4,ok,
q08.sql,b6122e51,8,"0,1,2,5,6,7,8",9,127.388,94.65,2,ok,
q09.sql,9b529b72,7,"0,1,2,3,6,7",7,134.288,421.99,175,ok,
q10.sql,30373738,4,"1,2,5,7",3,127.222,251.96,20,ok,
q11.sql,fce474ea,3,"3,6,7",2,9.75,32.8,1048,ok,
q12.sql,8ddcfa23,2,"1,2",1,124.522,86.62,2,ok,
q13.sql,9d24e612,2,"0,2",2,16.508,428.55,42,ok,
q14.sql,eb4142cd,2,"1,4",1,110.622,58.37,1,ok,
q15.sql,3e264395,1,1,0,108.022,64.36,1,ok,
q16.sql,5e361766,2,"3,4",1,12.2,129.54,18314,ok,
q17.sql,e376472d,2,"1,4",1,110.622,59.25,1,ok,
q18.sql,1313ec47,3,"1,2,5",2,127.222,351.97,57,ok,
q19.sql,5a964e1b,2,"1,4",1,110.622,172.43,1,ok,
q20.sql,4348b024,2,"6,7",1,0.15,103.79,186,ok,
q21.sql,fd07e4ca,4,"1,2,6,7",3,124.672,319.77,100,ok,
q22.sql,00d11101,1,0,1,0.008,89.56,7,ok,
